id,poj_input,poj_unicode,tailo_input,tailo_unicode,taigi_hanji,page_number
989,Peh8-kut-chu-a2-chhau2,Pe̍h-kut-chu-á-chháu,Peh8-kut-tsu-a2-tshau2,Pe̍h-kut-tsu-á-tsháu,白骨珠仔草,266
990,Chu-a2-chhau2,Chu-á-chháu,Tsu-a2-tshau2,Tsu-á-tsháu,珠仔草,266
991,Hioh8-e7-chu,Hio̍h-ē-chu,Hioh8-e7-tsu,Hio̍h-ē-tsu,葉下珠,266
992,Ang5-kut-kia7-chan3-chu-a2-chhah8,Âng-kut-kiā-chàn-chu-á-chha̍h,Ang5-kut-kia7-tsan3-tsu-a2-tshah8,Âng-kut-kiā-tsàn-tsu-á-tsha̍h,紅骨崎層珠仔草,266
993,Oo-kam-a2,O͘-kam-á,Oo-kam-a2,Oo-kam-á,烏柑仔,266
994,Pi-moa5,Pi-môa,Pi-mua5,Pi-muâ,蓖麻,266
995,Ang5-too-pi,Âng-to͘-pi,Ang5-too-pi,Âng-too-pi,紅？蓖,266
996,Pi-moa5-a2,Pi-môa-á,Pi-mua5-a2,Pi-muâ-á,蓖麻仔,266
997,Ang5-pi-moa5,Âng-pi-môa,Ang5-pi-mua5,Âng-pi-muâ,紅蓖麻,266
998,Soann-kheng7,Soaⁿ-khēng,Suann-khing7,Suann-khīng,山柏,266
999,Phann3-kheng7,Phàⁿ-khēng,Phann3-khing7,Phànn-khīng,冇柏,266
1000,Peh8-kheng,Pe̍h-kheng,Peh8-khing,Pe̍h-khing,白柏,266
1001,Kheng7-a2,Khēng-á,Khing7-a2,Khīng-á,柏仔,266
1002,Kheng7-a2,Khēng-á,Khing7-a2,Khīng-á,柏仔,267
1003,Kheng7-a2-chhiu7,Khēng-á-chhiū,Khing7-a2-tshiu7,Khīng-á-tshiū,柏仔樹,267
1004,Chhi7-chhang,Chhī-chhang,Tshi7-tshang,Tshī-tshang,市葱,267
1005,Chhi3-chhang,Chhì-chhang,Tshi3-tshang,Tshì-tshang,刺葱,267
1006,Chioh8-liu2,Chio̍h-liú,Tsioh8-liu2,Tsio̍h-liú,石柳,267
1007,Chioh8-liu2,Chio̍h-liú,Tsioh8-liu2,Tsio̍h-liú,石柳,267
1008,Loe7-te7-chioh8-liu2,Lōe-tē-chio̍h-liú,Lue7-te7-tsioh8-liu2,Luē-tē-tsio̍h-liú,內地石柳,267
1009,Soann-soainn7-a2,Soaⁿ-soāiⁿ-á,Suann-suainn7-a2,Suann-suāinn-á,山檨仔,268
1010,Soainn7-a2,Soāiⁿ-á,Suainn7-a2,Suāinn-á,檨仔,268
1011,Noann7-sim-bok8,Nōaⁿ-sim-bo̍k,Nuann7-sim-bok8,Nuānn-sim-bo̍k,爛心木,268
1012,Noa7-sim,Nōa-sim,Nua7-sim,Nuā-sim,爛心,268
1013,Soann-iam5-chhinn,Soaⁿ-iâm-chhiⁿ,Suann-iam5-tshinn,Suann-iâm-tshinn,山鹽菁,268
1014,Poo-iam5-a2,Po͘-iâm-á,Poo-iam5-a2,Poo-iâm-á,埔鹽仔,268
1015,Soann-poo-iam5,Soaⁿ-po͘-iâm,Suann-poo-iam5,Suann-poo-iâm,山埔鹽,268
1016,Iam5-tang-hoe,Iâm-tang-hoe,Iam5-tang-hue,Iâm-tang-hue,鹽東花,268
1017,Poo-iam5,Po͘-iâm,Poo-iam5,Poo-iâm,埔鹽,268
1018,Soann-chhat8-a2,Soaⁿ-chha̍t-á,Suann-tshat8-a2,Suann-tsha̍t-á,山賊仔,269
1019,Chhat,Chhat,Tshat,Tshat,漆,269
1020,Soann-chhat,Soaⁿ-chhat,Suann-tshat,Suann-tshat,山漆,269
1021,Chhat-chhit-chhiu7,Chhat-chhit-chhiū,Tshat-tshit-tshiu7,Tshat-tshit-tshiū,漆七樹,269
1022,Teng-pheng-a2,Teng-pheng-á,Ting-phing-a2,Ting-phing-á,燈秤仔,269
1023,Ban7-tiam2-kim,Bān-tiám-kim,Ban7-tiam2-kim,Bān-tiám-kim,萬點金,269
1024,Teng-chheng-hoe,Teng-chheng-hoe,Ting-tshing-hue,Ting-tshing-hue,燈稱花,269
1025,Oo-koe-kut,O͘-koe-kut,Oo-kue-kut,Oo-kue-kut,烏鷄骨,269
1026,Teng-pheng5-hoe,Teng-phêng-hoe,Ting-phing5-hue,Ting-phîng-hue,燈秤花,269
1027,Koo5-thu,Kô͘-thu,Koo5-thu,Kôo-thu,糊樗,270
1028,Khoo2-thu,Khó͘-thu,Khoo2-thu,Khóo-thu,苦株,270
1029,Koo5-thu,Kô͘-thu,Koo5-thu,Kôo-thu,糊樗,271
1030,Peh8-gun5,Pe̍h-gûn,Peh8-gun5,Pe̍h-gûn,白銀,271
1031,Be2-khau2-chhiu7,Bé-kháu-chhiū,Be2-khau2-tshiu7,Bé-kháu-tshiū,馬口樹,271
1032,Tai-teng-hong5,Tai-teng-hông,Tai-ting-hong5,Tai-ting-hông,大丁黃、大疔黃,273
1033,Chiau2-kian7-hoe,Chiáu-kiān-hoe,Tsiau2-kian7-hue,Tsiáu-kiān-hue,鳥腱花,274
1034,Soann-hiunn-inn5,Soaⁿ-hiuⁿ-îⁿ,Suann-hiunn-inn5,Suann-hiunn-înn,山香圓,275
1035,Koe-jiu5,Koe-jiû,Kue-jiu5,Kue-jiû,鷄柔,276
1036,Chhinn-png,Chhiⁿ-png,Tshinn-png,Tshinn-png,青楓,276
1037,Chi2-kiong,Chí-kiong,Tsi2-kiong,Tsí-kiong,止宮,277
1038,To2-toe7-leng5,Tó-tōe-lêng,To2-tue7-ling5,Tó-tuē-lîng,倒地柃,277
1039,Peh8-hoe-a2-chhau2,Pe̍h-hoe-á-chháu,Peh8-hue-a2-tshau2,Pe̍h-hue-á-tsháu,白花仔草,277
1040,Chhia-sng-a2,Chhia-sng-á,Tshia-sng-a2,Tshia-sng-á,車桑仔、車閂仔,277
1041,Geng5-geng2,Gêng-géng,Ging5-ging2,Gîng-gíng,龍眼,277
1042,Khoo2-leng7-kang,Khó͘-lēng-kang,Khoo2-ling7-kang,Khóo-līng-kang,苦楝江,277
1043,Khoo2-leng7-ku7,Khó͘-lēng-kū,Khoo2-ling7-ku7,Khóo-līng-kū,苦楝舅,277
1044,Poat8-a2-koe-iu5,Poa̍t-á-koe-iû,Puat8-a2-kue-iu5,Pua̍t-á-kue-iû,拔仔雞油,277
1045,Nai7-chi,Nāi-chi,Nai7-tsi,Nāi-tsi,荔枝,277
1046,Hoan5-a2-geng5-geng2,Hoân-á-gêng-géng,Huan5-a2-ging5-ging2,Huân-á-gîng-gíng,蕃仔龍眼,277
1047,Loan5-chhiu7,Loân-chhiū,Luan5-tshiu7,Luân-tshiū,欒樹,278
1048,Ng5-bak8-chi2,N̂g-ba̍k-chí,Ng5-bak8-tsi2,N̂g-ba̍k-tsí,黃目子,278
1049,Bak8-lo5,Ba̍k-lô,Bak8-lo5,Ba̍k-lô,木羅,278
1050,Bak8-long5-chhiu7,Ba̍k-lông-chhiū,Bak8-long5-tshiu7,Ba̍k-lông-tshiū,木浪樹,278
1051,Soann-ti-bah,Soaⁿ-ti-bah,Suann-ti-bah,Suann-ti-bah,山猪肉,278
1052,Soann-ti-koann,Soaⁿ-ti-koaⁿ,Suann-ti-kuann,Suann-ti-kuann,山猪肝,278
1053,Pit-lo5-chi2,Pit-lô-chí,Pit-lo5-tsi2,Pit-lô-tsí,筆羅子,278
1054,Ka-choah8-sit8,Ka-choa̍h-si̍t,Ka-tsuah8-sit8,Ka-tsua̍h-si̍t,蟉？翼,278
1055,Lek8-chiunn,Le̍k-chiuⁿ,Lik8-tsiunn,Li̍k-tsiunn,綠樟,278
1056,Chng2-kah-hoe,Chńg-kah-hoe,Tsng2-kah-hue,Tsńg-kah-hue,指甲花,279
1057,Oo-chhi3-a2,O͘-chhì-á,Oo-tshi3-a2,Oo-tshì-á,烏刺仔,279
1058,Oo-bak8-a2,O͘-ba̍k-á,Oo-bak8-a2,Oo-ba̍k-á,黑目仔,280
1059,Thang2-kau-tin5,Tháng-kau-tîn,Thang2-kau-tin5,Tháng-kau-tîn,桶鈎藤,280
1060,Gu5-chang-chhi3,Gû-chang-chhì,Gu5-tsang-tshi3,Gû-tsang-tshì,牛鬃刺,280
1061,Chhi3-mng,Chhì-mng,Tshi3-mng,Tshì-mng,刺？,280
1062,Cho2-a2,Chó-á,Tso2-a2,Tsó-á,棗仔,280
1063,Ang5-cho2,Âng-chó,Ang5-tso2,Âng-tsó,紅棗,281
1064,Toa7-cho2,Tōa-chó,Tua7-tso2,Tuā-tsó,大棗,281
1065,Toa7-phu5-to5,Tōa-phû-tô,Tua7-phu5-to5,Tuā-phû-tô,大葡萄,281
1066,Toa7-pun2-soann-phu5-to5,Tōa-pún-soaⁿ-phû-tô,Tua7-pun2-suann-phu5-to5,Tuā-pún-suann-phû-tô,大本山葡萄,281
1067,Soann-phu5-to5,Soaⁿ-phû-tô,Suann-phu5-to5,Suann-phû-tô,山葡萄,281
1068,Pun3-kam-tin5,Pùn-kam-tîn,Pun3-kam-tin5,Pùn-kam-tîn,糞？藤,281
1069,Leng2-png7-tin5,Léng-pn̄g-tîn,Ling2-png7-tin5,Líng-pn̄g-tîn,冷飯藤,281
1070,Hi7-khang-a2-tin5,Hī-khang-á-tîn,Hi7-khang-a2-tin5,Hī-khang-á-tîn,耳空仔藤,281
1071,Ngoo2-jiau2-leng5,Ngó͘-jiáu-lêng,Ngoo2-jiau2-ling5,Ngóo-jiáu-lîng,五爪龍,281
1072,Ngoo2-jiau2-jiong5,Ngó͘-jiáu-jiông,Ngoo2-jiau2-jiong5,Ngóo-jiáu-jiông,五爪絨,281
1073,Hoan-po5-oan,Hoan-pô-oan,Huan-po5-uan,Huan-pô-uan,蕃婆灣,281
1074,Hoan-po5-oan5,Hoan-pô-oân,Huan-po5-uan5,Huan-pô-uân,蕃婆怨,281
1075,Ang5-kut-choa5,Âng-kut-chôa,Ang5-kut-tsua5,Âng-kut-tsuâ,紅骨蛇,282
1076,Sann-kha-pih-chhau2,Saⁿ-kha-pih-chháu,Sann-kha-pih-tshau2,Sann-kha-pih-tsháu,三角鼈草,282
1077,Sann-kha-pih,Saⁿ-kha-pih,Sann-kha-pih,Sann-kha-pih,三角鼈,282
1078,Soe3-pun2-soann-phu5-to5,Sòe-pún-soaⁿ-phû-tô,Sue3-pun2-suann-phu5-to5,Suè-pún-suann-phû-tô,細本山葡萄,282
1079,Phu5-to5,Phû-tô,Phu5-to5,Phû-tô,葡萄,283
1080,Kau5-hoann-hi2,Kâu-hoaⁿ-hí,Kau5-huann-hi2,Kâu-huann-hí,猴歡喜,283
1081,Too7-eng,Tō͘-eng,Too7-ing,Tōo-ing,杜英、杜鶯,283
1082,Chu5-tau7,Chû-tāu,Tsu5-tau7,Tsû-tāu,薯豆,283
1083,Chu5-tau2,Chû-táu,Tsu5-tau2,Tsû-táu,薯斗,283
1084,Ng5-moa5,N̂g-môa,Ng5-mua5,N̂g-muâ,黃麻,284
1085,Soann-moa5,Soaⁿ-môa,Suann-mua5,Suann-muâ,山麻,284
1086,Tau2-lok8,Táu-lo̍k,Tau2-lok8,Táu-lo̍k,斗鹿,284
1087,Lak8-tak8-chhau2,La̍k-ta̍k-chháu,Lak8-tak8-tshau2,La̍k-ta̍k-tsháu,？碡草、磱碡草,285
1088,Sann-kha-pih,Saⁿ-kha-pih,Sann-kha-pih,Sann-kha-pih,三角鼈,285
1089,Ioh8-hoo2,Io̍h-hó͘,Ioh8-hoo2,Io̍h-hóo,藥虎,285
1090,Sann-kha-poa3,Saⁿ-kha-pòa,Sann-kha-pua3,Sann-kha-puà,三角破,285
1091,Bi2-na5-chhau2,Bí-nâ-chháu,Bi2-na5-tshau2,Bí-nâ-tsháu,米籃草,285
1092,Su3-bi5-chhau2,Sù-bî-chháu,Su3-bi5-tshau2,Sù-bî-tsháu,絮薇草,285
1093,Bo7-a2-tun2,Bō-á-tún,Bo7-a2-tun2,Bō-á-tún,帽仔盾,285
1094,To3-tiau3-hong,Tò-tiàu-hong,To3-tiau3-hong,Tò-tiàu-hong,倒？風,285
1095,Su3-bi2-chhau2,Sù-bí-chháu,Su3-bi2-tshau2,Sù-bí-tsháu,四米草,285
1096,Geng2-a2-tun2-chhau2,Géng-á-tún-chháu,Ging2-a2-tun2-tshau2,Gíng-á-tún-tsháu,研仔盾草,285
1097,Phoh-a2-chhau2,Phoh-á-chháu,Phoh-a2-tshau2,Phoh-á-tsháu,朴仔草,285
1098,Bo7-a2-tun3-chhau2,Bō-á-tùn-chháu,Bo7-a2-tun3-tshau2,Bō-á-tùn-tsháu,帽仔盾草,285
1099,Bo7-a2-tun2-chhau2,Bō-á-tún-chháu,Bo7-a2-tun2-tshau2,Bō-á-tún-tsháu,磨仔盾草,285
1100,Soann-phu5-iong5,Soaⁿ-phû-iông,Suann-phu5-iong5,Suann-phû-iông,山芙蓉,286
1101,Kau2-thau5-phu5-iong5,Káu-thâu-phû-iông,Kau2-thau5-phu5-iong5,Káu-thâu-phû-iông,狗頭芙蓉,286
1102,Phu5-iong5,Phû-iông,Phu5-iong5,Phû-iông,芙蓉,286
1103,Hu5-song-hoe,Hû-song-hoe,Hu5-song-hue,Hû-song-hue,扶桑花,286
1104,Toa7-ang5-hoe,Tōa-âng-hoe,Tua7-ang5-hue,Tuā-âng-hue,大紅花,286
1105,Chiu2-gim2-hoe,Chiú-gím-hoe,Tsiu2-gim2-hue,Tsiú-gím-hue,水錦花,286
1106,Peh8-chui2-gim2-hoe,Pe̍h-chúi-gím-hoe,Peh8-tsui2-gim2-hue,Pe̍h-tsuí-gím-hue,白水錦花,286
1107,Phoh-a2,Phoh-á,Phoh-a2,Phoh-á,朴仔,286
1108,Ke2-hioh8,Ké-hio̍h,Ke2-hioh8,Ké-hio̍h,菓葉、粿葉,286
1109,Iam5-chui2-bin7-thau5-ke2,Iâm-chúi-bīn-thâu-ké,Iam5-tsui2-bin7-thau5-ke2,Iâm-tsuí-bīn-thâu-ké,鹽水面頭菓,286
1110,Ng5-chui2,N̂g-chúi,Ng5-tsui2,N̂g-tsuí,黃槿,286
1111,Toa7-ho7-suh-huih-a2-chhau2,Tōa-hō-suh-huih-á-chháu,Tua7-ho7-suh-huih-a2-tshau2,Tuā-hō-suh-huih-á-tsháu,大號嗽血仔草,287
1112,Kui2-liu2-kun,Kúi-liú-kun,Kui2-liu2-kun,Kuí-liú-kun,鬼柳根,287
1113,Su3-bi2-chhau2,Sù-bí-chháu,Su3-bi2-tshau2,Sù-bí-tsháu,賜米草,287
1114,Khia7-a2-suh-huih-a2,Khiā-á-suh-huih-á,Khia7-a2-suh-huih-a2,Khiā-á-suh-huih-á,竪仔嗽血仔,287
1115,Inn5-hioh8-suh-huih-chhau2,Îⁿ-hio̍h-suh-huih-chháu,Inn5-hioh8-suh-huih-tshau2,Înn-hio̍h-suh-huih-tsháu,圓葉嗽血草,287
1116,Soa3-ho7-suh-huih--a2-chhau2,Sòa-hō-suh-huih--á-chháu,Sua3-ho7-suh-huih--a2-tshau2,Suà-hō-suh-huih--á-tsháu,小號嗽血仔草,287
1117,Sat-bu2-chi2-chhau2,Sat-bú-chí-chháu,Sat-bu2-tsi2-tshau2,Sat-bú-tsí-tsháu,虱母子草,288
1118,Sat-bu2-chi2,Sat-bú-chí,Sat-bu2-tsi2,Sat-bú-tsí,虱母子,288
1119,Pan-chi-chhiu7,Pan-chi-chhiū,Pan-tsi-tshiu7,Pan-tsi-tshiū,班芝樹,288
1120,Ko2-bok8,Kó-bo̍k,Ko2-bok8,Kó-bo̍k,？木,288
1121,Ka-poh8-mi5,Ka-po̍h-mî,Ka-poh8-mi5,Ka-po̍h-mî,加薄棉,288
1122,Chhinn-tong5,Chhiⁿ-tông,Tshinn-tong5,Tshinn-tông,青桐,288
1123,Ngoo5-tong5,Ngô͘-tông,Ngoo5-tong5,Ngôo-tông,梧桐,288
1124,Khoo2-moa5,Khó͘-môa,Khoo2-mua5,Khóo-muâ,苦麻,288
1125,Toa7-peh8-hioh8-a2,Tōa-pe̍h-hio̍h-á,Tua7-peh8-hioh8-a2,Tuā-pe̍h-hio̍h-á,大白葉仔,288
1126,Bin7-thau5-ke2,Bīn-thâu-ké,Bin7-thau5-ke2,Bīn-thâu-ké,面頭菓,289
1127,Chhe-thau5-heng5,Chhe-thâu-hêng,Tshe-thau5-hing5,Tshe-thâu-hîng,栖頭恒,289
1128,Teng-a2-chhau2,Teng-á-chháu,Ting-a2-tshau2,Ting-á-tsháu,燈仔草,289
1129,Chheng3-chhng5-lam5,Chhèng-chhn̂g-lâm,Tshing3-tshng5-lam5,Tshìng-tshn̂g-lâm,銃床楠,289
1130,Pin5-po5,Pîn-pô,Pin5-po5,Pîn-pô,蘋婆,289
1131,Chui2-tang-koe,Chúi-tang-koe,Tsui2-tang-kue,Tsuí-tang-kue,水冬瓜,290
1132,Chui2-kong2-sim,Chúi-kóng-sim,Tsui2-kong2-sim,Tsuí-kóng-sim,水管心,290
1133,Toa7-phann3-chhiu7,Tōa-phàⁿ-chhiū,Tua7-phann3-tshiu7,Tuā-phànn-tshiū,大有樹,290
1134,To3-tiau3-hong,Tò-tiàu-hong,To3-tiau3-hong,Tò-tiàu-hong,倒？風,290
1135,Gu5-sai2-te5,Gû-sái-tê,Gu5-sai2-te5,Gû-sái-tê,牛屎茶,291
1136,Ang5-tam7,Âng-tām,Ang5-tam7,Âng-tām,紅淡,291
1137,Te5-mui5,Tê-mûi,Te5-mui5,Tê-muî,茶梅,292
1138,Khoo2-te5,Khó͘-tê,Khoo2-te5,Khóo-tê,苦茶,292
1139,Iu5-te5-chhiu7,Iû-tê-chhiū,Iu5-te5-tshiu7,Iû-tê-tshiū,油茶樹,292
1140,Oo-phe5-te5,O͘-phê-tê,Oo-phe5-te5,Oo-phê-tê,烏皮茶,292
1141,Gu5-sai2-te5,Gû-sái-tê,Gu5-sai2-te5,Gû-sái-tê,牛屎茶,292
1142,Iu5-te5,Iû-tê,Iu5-te5,Iû-tê,油茶,292
1143,Te5,Tê,Te5,Tê,茶,293
1144,Soann-te5,Soaⁿ-tê,Suann-te5,Suann-tê,山茶,293
1145,Soann-te5-a2,Soaⁿ-tê-á,Suann-te5-a2,Suann-tê-á,山茶仔,293
1146,Iu5-te5,Iû-tê,Iu5-te5,Iû-tê,油茶,293
1147,Iu5-hioh8-te5,Iû-hio̍h-tê,Iu5-hioh8-te5,Iû-hio̍h-tê,油葉茶,293
1148,Iu5-bok8,Iû-bo̍k,Iu5-bok8,Iû-bo̍k,油木,293
1149,Toa7-thau5-te5,Tōa-thâu-tê,Tua7-thau5-te5,Tuā-thâu-tê,大頭茶,293
1150,Koann-a2-phe5,Koaⁿ-á-phê,Kuann-a2-phe5,Kuann-á-phê,杆仔皮,294
1151,Ho3-siu7,Hò-siū,Ho3-siu7,Hò-siū,荷樹,294
1152,Ho3,Hò,Ho3,Hò,荷,294
1153,Ko-poe,Ko-poe,Ko-pue,Ko-pue,高杯,294
1154,Ko2-a2,Kó-á,Ko2-a2,Kó-á,？仔,294
1155,Ang5-chha5,Âng-chhâ,Ang5-tsha5,Âng-tshâ,紅柴,294
1156,Ang5-tam7-pi2,Âng-tām-pí,Ang5-tam7-pi2,Âng-tām-pí,紅淡比,294
1157,Ang5-kau7-khak,Âng-kāu-khak,Ang5-kau7-khak,Âng-kāu-khak,紅厚殼,294
1158,Thih-tio3-koann,Thih-tiò-koaⁿ,Thih-tio3-kuann,Thih-tiò-kuann,鐵釣竿,295
1159,Ng5-hoe-a2-chhau2,N̂g-hoe-á-chháu,Ng5-hue-a2-tshau2,N̂g-hue-á-tsháu,黃花仔草,295
1160,It-ki-hiunn,It-ki-hiuⁿ,It-ki-hiunn,It-ki-hiunn,一枝香,295
1161,Chhut-seng-lau2,Chhut-seng-láu,Tshut-sing-lau2,Tshut-sing-láu,出生老,295
1162,Toa7-hoan-hun5,Tōa-hoan-hûn,Tua7-huan-hun5,Tuā-huan-hûn,大翻魂,295
1163,Sam3-liu2,Sàm-liú,Sam3-liu2,Sàm-liú,？柳,296
1164,Te5-si5-hong5,Tê-sî-hông,Te5-si5-hong5,Tê-sî-hông,茶匙黃,297
1165,Eng3-chhai3-hong5,Èng-chhài-hông,Ing3-tshai3-hong5,Ìng-tshài-hông,甕菜黃,298
1166,Koe-chih-hong5,Koe-chih-hông,Kue-tsih-hong5,Kue-tsih-hông,鷄舌黃,298
1167,Keh-chiau2-hoe,Keh-chiáu-hoe,Keh-tsiau2-hue,Keh-tsiáu-hue,鵲鳥花,298
1168,U7-chhi3-chhiah-lan5,Ū-chhì-chhiah-lân,U7-tshi3-tshiah-lan5,Ū-tshì-tshiah-lân,有刺赤蘭,299
1169,Loo2-hoa3-chhiu7,Ló͘-hòa-chhiū,Loo2-hua3-tshiu7,Lóo-huà-tshiū,魯化樹,299
1170,Si5-pio2-a2-hoe,Sî-pió-á-hoe,Si5-pio2-a2-hue,Sî-pió-á-hue,時錶仔花,300
1171,Bok8-koa,Bo̍k-koa,Bok8-kua,Bo̍k-kua,木瓜,300
1172,Hoan-a2-bok8-koa,Hoan-á-bo̍k-koa,Huan-a2-bok8-kua,Huan-á-bo̍k-kua,番仔木瓜,300
1173,Ban7-siu7-ko2,Bān-siū-kó,Ban7-siu7-ko2,Bān-siū-kó,萬壽果,300
1174,Mooh-piah-lian5,Mo͘h-piah-liân,Mooh-piah-lian5,Mooh-piah-liân,？壁蓮,302
1175,Sian-pa-chiunn2,Sian-pa-chiúⁿ,Sian-pa-tsiunn2,Sian-pa-tsiúnn,仙巴掌,303
1176,Poo-lun5-a2,Po͘-lûn-á,Poo-lun5-a2,Poo-lûn-á,埔崙仔,303
1177,Soann-poo-lun5-a2,Soaⁿ-po͘-lûn-á,Suann-poo-lun5-a2,Suann-poo-lûn-á,山埔崙仔,303
1178,Poo-lun5,Po͘-lûn,Poo-lun5,Poo-lûn,埔崙,303
1179,Khi7-koo5,Khī-kô͘,Khi7-koo5,Khī-kôo,柿糊,304
1180,Kiu2-kiong,Kiú-kiong,Kiu2-kiong,Kiú-kiong,九芎,304
1181,Chng2-kah-hoe,Chńg-kah-hoe,Tsng2-kah-hue,Tsńg-kah-hue,指甲花,305
1182,Chha5-chng2-kah,Chhâ-chńg-kah,Tsha5-tsng2-kah,Tshâ-tsńg-kah,柴指甲,305
1183,Hai2-choa2-chinn5-loo2,Hái-chóa-chîⁿ-ló͘,Hai2-tsua2-tsinn5-loo2,Hái-tsuá-tsînn-lóo,海紙錢魯,305
1184,Chui2-ti-bu2-lin,Chúi-ti-bú-lin,Tsui2-ti-bu2-lin,Tsuí-ti-bú-lin,水豬母乳,305
1185,Ang5-siah8-liu5,Âng-sia̍h-liû,Ang5-siah8-liu5,Âng-sia̍h-liû,紅石榴,305
1186,Sia7-liu5,Siā-liû,Sia7-liu5,Siā-liû,謝榴、榭榴,305
1187,Siah8-liu5,Sia̍h-liû,Siah8-liu5,Sia̍h-liû,石榴,305
1188,Peh8-siah8-liu5,Pe̍h-sia̍h-liû,Peh8-siah8-liu5,Pe̍h-sia̍h-liû,白石榴,305
1189,Ki5-poann5-kha-chhiu7,Kî-pôaⁿ-kha-chhiū,Ki5-puann5-kha-tshiu7,Kî-puânn-kha-tshiū,碁盤脚樹,306
1190,Chui2-kong3-a2,Chúi-kòng-á,Tsui2-kong3-a2,Tsuí-kòng-á,水貢仔,306
1191,Chui2-ka-tang,Chúi-ka-tang,Tsui2-ka-tang,Tsuí-ka-tang,水茄苳,306
1192,Soe3-hioh8-ki5-poann5-kha-chhiu7,Sòe-hio̍h-kî-pôaⁿ-kha-chhiū,Sue3-hioh8-ki5-puann5-kha-tshiu7,Suè-hio̍h-kî-puânn-kha-tshiū,細葉碁盤脚樹,306
1193,Goo7-kha-li2,Gō͘-kha-lí,Goo7-kha-li2,Gōo-kha-lí,五脚里,306
1194,Chui2-pit,Chúi-pit,Tsui2-pit,Tsuí-pit,水筆,306
1195,Chui2-pit-a2,Chúi-pit-á,Tsui2-pit-a2,Tsuí-pit-á,水筆仔,306
1196,Ang5-ka-tang,Âng-ka-tang,Ang5-ka-tang,Âng-ka-tang,紅茄苳,307
1197,Su3-kun-chu2,Sù-kun-chú,Su3-kun-tsu2,Sù-kun-tsú,使君子,307
1198,Soann-iunn5-sai2,Soaⁿ-iûⁿ-sái,Suann-iunn5-sai2,Suann-iûnn-sái,山羊屎,307
1199,Lam2-jin5,Lám-jîn,Lam2-jin5,Lám-jîn,欖仁,307
1200,Ka-jip8-ku7,Ka-ji̍p-kū,Ka-jip8-ku7,Ka-ji̍p-kū,加入舅,308
1201,Chhiah-lan5,Chhiah-lân,Tshiah-lan5,Tshiah-lân,赤蘭,308
1202,Hoan-a2-sau3-chhiu2,Hoan-á-sàu-chhiú,Huan-a2-sau3-tshiu2,Huan-á-sàu-tshiú,蕃仔掃箒,308
1203,Hiong-ko2,Hiong-kó,Hiong-ko2,Hiong-kó,香果,309
1204,Hong-koo2,Hong-kó͘,Hong-koo2,Hong-kóo,風鼓,309
1205,Lian2-bu7,Lián-bū,Lian2-bu7,Lián-bū,蓮霧、輦霧,309
1206,Poat8-a2,Poa̍t-á,Puat8-a2,Pua̍t-á,拔仔,309
1207,Na2-poat8,Ná-poa̍t,Na2-puat8,Ná-pua̍t,那拔、藍拔、？？,309
1208,Pat-a2,Pat-á,Pat-a2,Pat-á,扒仔,309
1209,Chui2-to-ni5,Chúi-to-nî,Tsui2-to-ni5,Tsuí-to-nî,水刀連,310
1210,To-ni5-a2,To-nî-á,To-ni5-a2,To-nî-á,哆哖仔,310
1211,Toa7-hioh8-kim-siah8-liu5,Tōa-hio̍h-kim-sia̍h-liû,Tua7-hioh8-kim-siah8-liu5,Tuā-hio̍h-kim-sia̍h-liû,大葉金石榴,310
1212,Kim-sia7-liu5,Kim-siā-liû,Kim-sia7-liu5,Kim-siā-liû,金榭榴,310
1213,Te7-teng,Tē-teng,Te7-ting,Tē-ting,地丁,310
1214,Kau2-le5-a2-hoe,Káu-lê-á-hoe,Kau2-le5-a2-hue,Káu-lê-á-hue,九螺仔花,310
1215,Poo-pit-a2,Po͘-pit-á,Poo-pit-a2,Poo-pit-á,埔筆仔,310
1216,Put-liu5-heng5,Put-liû-hêng,Put-liu5-hing5,Put-liû-hîng,不留行,310
1217,Ong5-put-liu5-heng5,Ông-put-liû-hêng,Ong5-put-liu5-hing5,Ông-put-liû-hîng,王不留行,310
1218,Ong5-put-liu5,Ông-put-liû,Ong5-put-liu5,Ông-put-liû,王不留,310
1219,Kim-siah8-liu5,Kim-sia̍h-liû,Kim-siah8-liu5,Kim-sia̍h-liû,金石榴,310
1220,Kim-sia7-liu5,Kim-siā-liû,Kim-sia7-liu5,Kim-siā-liû,金榭榴,310
1221,Chui2-teng-hiunn,Chúi-teng-hiuⁿ,Tsui2-ting-hiunn,Tsuí-ting-hiunn,水丁香,312
1222,Ke3-kang-leng5,Kè-kang-lêng,Ke3-kang-ling5,Kè-kang-lîng,過江龍,312
1223,Ke3-kau-leng5,Kè-kau-lêng,Ke3-kau-ling5,Kè-kau-lîng,過溝龍,312
1224,Chui2-kang-leng5,Chúi-kang-lêng,Tsui2-kang-ling5,Tsuí-kang-lîng,水江龍,312
1225,Chui2-teng-hiunn,Chúi-teng-hiuⁿ,Tsui2-ting-hiunn,Tsuí-ting-hiunn,水丁香,312
1226,Leng5-kak,Lêng-kak,Ling5-kak,Lîng-kak,龍角、菱角,312
1227,Chhau2-se,Chháu-se,Tshau2-se,Tsháu-se,草紗,313
1228,Kang-boo2,Kang-bó͘,Kang-boo2,Kang-bóo,江某、江？,313
1229,Ap-bu2-chhiu7,Ap-bú-chhiū,Ap-bu2-tshiu7,Ap-bú-tshiū,鴨母樹,313
