id,poj_input,poj_unicode,tailo_input,tailo_unicode,hanlo,hoagi,from
41,Ma2-choo2-chhenn/Ma2-choo2-chhinn,Má-chó͘-chheⁿ/Má-chó͘-chhiⁿ,Ma2-tsoo2-tshenn/Ma2-tsoo2-tshinn,Má-tsóo-tshenn/Má-tsóo-tshinn,媽祖星,海王星,匿名
42,Thinn-kong-chhenn/Thinn-kong-chhinn,Thiⁿ-kong-chheⁿ/Thiⁿ-kong-chhiⁿ,Thinn-kong-tshenn/Thinn-kong-tshinn,Thinn-kong-tshenn/Thinn-kong-tshinn,天公星,天王星,匿名
43,thau5-cheng5,thâu-chêng,thau5-tsing5,thâu-tsîng,頭前,前面的,匿名
44,au7-bin7,aū-bīn,au7-bin7,āu-bīn,後面,後面的,Ellen Post
45,goa2 e7-hiau2 kong2,góa ē-hiáu kóng,gua2 e7-hiau2 kong2,guá ē-hiáu kóng,我會曉講,我會說,匿名
46,phih8-phih8-chhoah,phi̍h-phi̍h-chhoah,phih8-phih8-tshuah,phi̍h-phi̍h-tshuah,咇咇掣,顫抖,匿名
47,sian7-tauh-tauh,siān-tauh-tauh,sian7-tauh-tauh,siān-tauh-tauh,𤺪篤篤,疲倦,匿名
48,e-phi-phi,e-phi-phi,e-phi-phi,e-phi-phi,APP,手機應用程式,匿名
49,chui2-soo3,chúi-sò͘,tsui2-soo3,tsúi-sòo,水素,氫,匿名
51,tinn-soo3,tiⁿ-sò͘,tinn-soo3,tinn-sòo,甜素,鈹,匿名
52,khoo2-soo3,khó͘-sò͘,khoo2-soo3,khóo-sòo,苦素,鎂,匿名
53,li2 ho2,lí hó,li2 ho2,lí hó,你好,你好,匿名
54,iam5-soo3,iâm-sò͘,iam5-soo3,iâm-sòo,鹽素,氯,匿名
55,chhau3-soo3,chhàu-sò͘,tshau3-soo3,tshàu-sòo,臭素,溴,匿名
56,kha-thau5-u,kha-thâu-u,kha-thau5-u,kha-thâu-u,跤頭趺,膝,匿名
57,phah chhia-phio3,phah chhia-phiò,phah tshia-phio3,phah tshia-phiò,拍車票,買車票,匿名
58,han-chi5-hioh8,han-chî-hio̍h,han-tsi5-hioh8,han-tsî-hio̍h,番薯葉,地瓜葉,匿名
59,mi5-noa7,mî-nōa,mi5-nua7,mî-nuā,綿爛,熱衷,Morrison Iûnn
60,chhiah-iah8,chhiah-ia̍h,tshiah-iah8,tshiah-ia̍h,刺疫,討厭,Van  Lai
61,koe3-kau-chhai3/ke3-kau-chhai3,kòe-kau-chhài/kè-kau-chhài,kue3-kau-tshai3/ke3-kau-tshai3,kuè-kau-tshài/kè-kau-tshài,過溝菜,地瓜葉,Morrison Iûnn
62,oo-chhinn/oo-chhenn,o͘-chhiⁿ/o͘-chheⁿ,oo-tshinn/oo-tshenn,oo-tshinn/oo-tshenn,烏青,瘀傷,Morrison Iûnn
64,chhoah sai2,chhoah sái,tshuah sai2,tshuah sái,疶屎,拉屎,匿名
66,tuh8-lan7,tu̍h-lān,tuh8-lan7,tu̍h-lān,揬𡳞,討厭,匿名
67,phang2-kauh,pháng-kauh,phang2-kauh,pháng-kauh,麭𩛩,三明治,匿名
68,gia5-nng7/go5-nng7,giâ-nn̄g/gô-nn̄g,gia5-nng7/go5-nng7,giâ-nn̄g/gô-nn̄g,鵝卵,巨蛋,Khóo Ka-ióng
69,Bi2-kok-koah-pau,Bí-kok-koah-pau,Bi2-kok-kuah-pau,Bí-kok-kuah-pau,美國割包,漢堡,Khóo Ka-ióng
70,Tai5-oan5,Tâi-oân,Tai5-uan5,Tâi-uân,臺灣,台灣,David Kang
71,kan3-lin2-nia5,kàn-lín-niâ,kan3-lin2-nia5,kàn-lín-niâ,姦恁娘,幹你娘,David Kang
76,se-chng/soe-chng,se-chng/soe-chng,se-tsng/sue-tsng,se-tsng/sue-tsng,梳妝,梳妝,游威力
81,kha-chhiu2 chian7,kha-chhiú chiān,kha-tshiu2 tsian7,kha-tshiú tsiān,跤手賤,手腳不乾淨,匿名
82,koah chhia-toann,koah chhia-toaⁿ,kuah tshia-tuann,kuah tshia-tuann,割車單,買車票,匿名
83,koe-a2-chhiu,koe-á-chhiu,kue-a2-tshiu,kue-á-tshiu,瓜仔鬚,龍鬚菜,匿名
84,kai2-pinn,kái-piⁿ,kai2-pinn,kái-pinn,骱邊,鼠蹊溝,匿名
85,tioh8--bo5,tio̍h--bô,tioh8--bo5,tio̍h--bô,著無,對不對,匿名
86,se2-bin7-cho7/soe2-bin7-cho7,sé-bīn-chō/sóe-bīn-chō,se2-bin7-tso7/sue2-bin7-tso7,sé-bīn-tsō/sué-bīn-tsō,洗面皂,洗面乳,匿名
87,se2-bin7--e5/soe2-bin7--e5,sé-bīn--ê/sóe-bīn--ê,se2-bin7--e5/sue2-bin7--e5,sé-bīn--ê/sué-bīn--ê,洗面的,洗面乳,匿名
88,han-chi5-hioh8/han-chu5-hioh8,han-chî-hio̍h/han-chû-hio̍h,han-tsi5-hioh8/han-tsu5-hioh8,han-tsî-hio̍h/han-tsû-hio̍h,番薯葉,地瓜葉,匿名
89,ti-chhai3,ti-chhài,ti-tshai3,ti-tshài,豬菜,地瓜葉,匿名
90,hoe2-sio-sim,hóe-sio-sim,hue2-sio-sim,hué-sio-sim,火燒心,心灼痛,匿名
91,khau3-iau,khàu-iau,khau3-iau,khàu-iau,哭枵,靠夭,匿名
92,chhut-seng jit8-ki5,chhut-seng ji̍t-kî,tshut-sing jit8-ki5,tshut-sing ji̍t-kî,出生日期,出生日期,匿名
93,geng5-hoeh/geng5-huih,gêng-hoeh/gêng-huih,ging5-hueh/ging5-huih,gîng-hueh/gîng-huih,凝血,凝血,匿名
94,bak8-chhai2,ba̍k-chhái,bak8-tshai2,ba̍k-tshái,目彩,眼影,匿名
95,bang3-gah/bang3-kah,bàng-gah/bàng-kah,bang3-gah/bang3-kah,bàng-gah/bàng-kah,漫畫,卡通,Khóo Ka-ióng
96,bin7-chu/bin7-chir,bīn-chu/bīn-chir,bin7-tsu/bin7-tsir,bīn-tsu/bīn-tsir,面書,FB,Khóo Ka-ióng
97,chhut-si3-ni5-goeh8/chhut-si3-ni5-geh8,chhut-sì-nî-goe̍h/chhut-sì-nî-ge̍h,tshut-si3-ni5-gueh8/tshut-si3-ni5-geh8,tshut-sì-nî-gue̍h/tshut-sì-nî-ge̍h,出世年月,出生日期,費加洛
98,chheh-heng5 tian7-nau2,chheh-hêng tiān-náu,tsheh-hing5 tian7-nau2,tsheh-hîng tiān-náu,冊型電腦,筆記型電腦,費加洛
99,tah-bak8-kiann3-jin5,tah-ba̍k-kiàⁿ-jîn,tah-bak8-kiann3-jin5,tah-ba̍k-kiànn-jîn,貼目鏡仁,隱形眼鏡,費加洛
100,chian-chui2-kiau2,chian-chúi-kiáu,tsian-tsui2-kiau2,tsian-tsuí-kiáu,煎水餃,煎水餃,Ki-seng Lim
101,te2-kun5,té-kûn,te2-kun5,té-kûn,短裙,短裙,匿名
102,Thai3-peng5-too2,Thài-pêng-tó͘,Thai3-ping5-too2,Thài-pîng-tóo,太平島,太平島,匿名
103,chhiau-kip-chhi7-tiunn5,chhiau-kip-chhī-tiûⁿ,tshiau-kip-tshi7-tiunn5,tshiau-kip-tshī-tiûnn,超級市場,超級市場,匿名
104,liong5-kut-chhoe2/liong5-kut-chhe2,liông-kut-chhóe/liông-kut-chhé,liong5-kut-tshue2/liong5-kut-tshe2,liông-kut-tshué/liông-kut-tshé,龍骨髓,脊髓,匿名
105,To-la2-e2-bong7,To-lá-é-bōng,To-la2-e2-bong7,To-lá-é-bōng,哆啦A夢,哆啦A夢,莊銘彥
106,an2-choann2 kong2,án-chóaⁿ kóng,an2-tsuann2 kong2,án-tsuánn kóng,按怎講,怎樣講,匿名
107,too7-chiam,tō͘-chiam,too7-tsiam,tōo-tsiam,度針,體溫計,匿名
108,thau5-khak,thâu-khak,thau5-khak,thâu-khak,頭殼,腦袋,匿名
109,penn7-kiann2/pinn7-kiann2,pēⁿ-kiáⁿ/pīⁿ-kiáⁿ,penn7-kiann2/pinn7-kiann2,pēnn-kiánn/pīnn-kiánn,病囝,害喜,匿名
110,ban7-chhiann2-si7/ban7-chhiann2-i7,bān-chhiáⁿ-sī/bān-chhiáⁿ-ī,ban7-tshiann2-si7/ban7-tshiann2-i7,bān-tshiánn-sī/bān-tshiánn-ī,慢且是,慢一點,匿名
111,chah-sin-jip8-tian7-ap8,chah-sin-ji̍p-tiān-a̍p,tsah-sin-jip8-tian7-ap8,tsah-sin-ji̍p-tiān-a̍p,紮身入電盒,行動電源,費加洛
112,kau5-gin2-a2,kâu-gín-á,kau5-gin2-a2,kâu-gín-á,猴囡仔,小屁孩,匿名
113,Li2 si7 siang2,Lí sī siáng,Li2 si7 siang2,Lí sī siáng,你是啥人,你是誰,Miao Chiang Yen
114,lu3-khah,lù-khah,lu3-khah,lù-khah,鑢卡,刷卡,David Kang
115,chhit-ho7-a2,chhit-hō-á,tshit-ho7-a2,tshit-hō-á,七號仔,7-11,匿名
116,phui3-that-a2,phùi-that-á,phui3-that-a2,phuì-that-á,屁窒仔,小屁孩,匿名
117,Ang--e5 goa2 ai3--li2,Ang--ê góa aì--lí,Ang--e5 gua2 ai3--li2,Ang--ê guá ài--lí,翁的我愛你,老公我愛你,匿名
118,Thau5--e5 goa2 ai3--li2,Thâu--ê góa aì--lí,Thau5--e5 gua2 ai3--li2,Thâu--ê guá ài--lí,頭的我愛你,老公我愛你,匿名
119,Chui2-chhenn to3-thau5 kiann5,Chúi-chheⁿ tò-thâu kiâⁿ,Tsui2-tshenn to3-thau5 kiann5,Tsuí-tshenn tò-thâu kiânn,水星倒頭行,水星逆行,匿名
120,thun2-tah8 bin5-chu2,thún-ta̍h bîn-chú,thun2-tah8 bin5-tsu2,thún-ta̍h bîn-tsú,𧿬踏民主,踐踏民主,匿名
121,Goa2 kiong7-beh be7-hu3--ah,Góa kiōng-beh bē-hù--ah,Gua2 kiong7-beh be7-hu3--ah,Guá kiōng-beh bē-hù--ah,我強欲袂赴矣,我快要遲到了,Vito Chang
122,Goa2 teh-beh/teh-boeh be7-hu3/boe7-hu3--ah,Góa teh-beh/teh-boeh bē-hù/bōe-hù--ah,Gua2 teh-beh/teh-bueh be7-hu3/bue7-hu3--ah,Guá teh-beh/teh-bueh bē-hù/buē-hù--ah,我咧欲袂赴矣,我快要遲到了,匿名
123,au-bu2,au-bú,au-bu2,au-bú,後母,二媽,匿名
124,chui2-chhenn gek8-heng5/chui2-chhinn gek8-heng5,chúi-chheⁿ ge̍k-hêng/chúi-chhiⁿ ge̍k-hêng,tsui2-tshenn gik8-hing5/tsui2-tshinn gik8-hing5,tsuí-tshenn gi̍k-hîng/tsuí-tshinn gi̍k-hîng,水星逆行,水逆,莊銘彥
125,sai7-thai2,sāi-thái,sai7-thai2,sāi-thái,撒體,鬧彆扭,莊銘彥
126,tiau3-khoo3,tiàu-khò͘,tiau3-khoo3,tiàu-khòo,吊褲,吊帶褲,Liz Lin
127,tian7-si7-tai5,tiān-sī-tâi,tian7-si7-tai5,tiān-sī-tâi,電視台,電視台,匿名
128,khau3-pe7-khau3-bu2,khàu-pē-khàu-bú,khau3-pe7-khau3-bu2,khàu-pē-khàu-bú,哭爸哭母,靠夭,匿名
129,po2-ke3-bong7,pó-kè-bōng,po2-ke3-bong7,pó-kè-bōng,寶價望,寶可夢,費加洛
130,chui2-ah-chhia,chúi-ah-chhia,tsui2-ah-tshia,tsuí-ah-tshia,水鴨車,水陸觀光車,費加洛
131,an2-choann2 kong2/an2-na2-kong2,án-chóaⁿ kóng/án-ná-kóng,an2-tsuann2 kong2/an2-na2-kong2,án-tsuánn kóng/án-ná-kóng,按怎講,怎麼說,David Kang
132,liong5-kut,liông-kut,liong5-kut,liông-kut,龍骨,脊髓,匿名
133,chhit--a2,chhit--á,tshit--a2,tshit--á,七仔,7-11,匿名
134,chhe3-siong,chhè-siong,tshe3-siong,tshè-siong,摖傷,擦傷,匿名
135,chhong3 siann2,chhòng siáⁿ,tshong3 siann2,tshòng siánn,創啥,幹什麼,匿名
136,kau5-thau5-ko2,kâu-thâu-kó,kau5-thau5-ko2,kâu-thâu-kó,猴頭果,奇異果,匿名
137,sng2-chui2,sńg-chúi,sng2-tsui2,sńg-tsuí,耍水,玩水,匿名
138,tong3-lau3-sai2-ioh8,tòng-làu-sái-io̍h,tong3-lau3-sai2-ioh8,tòng-làu-sái-io̍h,擋落屎藥,止瀉劑,匿名
139,Sin5-keng thiann3,Sîn-keng thiàⁿ,Sin5-king thiann3,Sîn-king thiànn,神經疼,神經痛,匿名
140,oo-sai2,o͘-sái,oo-sai2,oo-sái,烏屎,黑便,匿名
141,li2-loo7,lí-lō͘,li2-loo7,lí-lōo,理路,邏輯,匿名
142,kha3-chhiu2-ki-a2,khà-chhiú-ki-á,kha3-tshiu2-ki-a2,khà-tshiú-ki-á,敲手機仔,打手機,匿名
143,Too3-tin7-tek8-kong,Tò͘-tīn-te̍k-kong,Too3-tin7-tik8-kong,Tòo-tīn-ti̍k-kong,鬥陣特攻,鬥陣特攻,匿名
144,moo5-siu7-cheng-pa3,mô͘-siū-cheng-pà,moo5-siu7-tsing-pa3,môo-siū-tsing-pà,魔獸爭霸,魔獸爭霸,匿名
145,tong5-seng3-loan5,tông-sèng-loân,tong5-sing3-luan5,tông-sìng-luân,同性戀,同性戀,匿名
146,bak8-chiah-mng5-giap-a2,ba̍k-chiah-mn̂g-giap-á,bak8-tsiah-mng5-giap-a2,ba̍k-tsiah-mn̂g-giap-á,目睫毛鋏仔,睫毛夾,匿名
147,kong2 chit8-e5 pi3-koat,kóng chi̍t-ê pì-koat,kong2 tsit8-e5 pi3-kuat,kóng tsi̍t-ê pì-kuat,講一个祕訣,講個秘訣,匿名
148,lau5-oe7,lâu-oē,lau5-ue7,lâu-uē,留話,留言,匿名
149,bin7-chheh,bīn-chheh,bin7-tsheh,bīn-tsheh,面冊,facebook,匿名
150,lah-sap-oe7,lah-sap-oē,lah-sap-ue7,lah-sap-uē,垃圾話,粗口,匿名
151,hah Han5,hah Hân,hah Han5,hah Hân,哈韓,哈韓,匿名
152,hah Jit8,hah Ji̍t,hah Jit8,hah Ji̍t,哈日,哈日,匿名
153,khong2-beng5-teng,khóng-bêng-teng,khong2-bing5-ting,khóng-bîng-ting,孔明燈,天燈,David Kang
154,sui2-tang-tang,súi-tang-tang,sui2-tang-tang,suí-tang-tang,媠噹噹,漂亮,匿名
155,a-beng5,a-bêng,a-bing5,a-bîng,阿明,小明,匿名
156,kang7-seng3-loan5,kāng-sèng-loân,kang7-sing3-luan5,kāng-sìng-luân,仝性戀,同性戀,匿名
157,phi5-kha2-chiu3,phî-khá-chiù,phi5-kha2-tsiu3,phî-khá-tsiù,皮巧啾,皮卡丘,游威力
158,lun5-pan-chhenn-jin5/lun5-pan-chhinn-jin5,lûn-pan-chheⁿ-jîn/lûn-pan-chhiⁿ-jîn,lun5-pan-tshenn-jin5/lun5-pan-tshinn-jin5,lûn-pan-tshenn-jîn/lûn-pan-tshinn-jîn,輪班星人,輪班星人,匿名
159,khiang-a2,khiang-á,khiang-a2,khiang-á,勍仔,手腳不乾淨,Van  Lai
160,Ka-lok8-hok,Ka-lo̍k-hok,Ka-lok8-hok,Ka-lo̍k-hok,家樂福,家樂福,匿名
161,pok8-kiat-bong7,po̍k-kiat-bōng,pok8-kiat-bong7,po̍k-kiat-bōng,爆吉夢,寶可夢,匿名
162,phin2-heng7,phín-hēng,phin2-hing7,phín-hīng,品行,品行,匿名
163,chinn3-khian-a2,chìⁿ-khian-á,tsinn3-khian-a2,tsìnn-khian-á,糋圈仔,甜甜圈,匿名
164,siok8-hoe-leng5-ki,sio̍k-hoe-lêng-ki,siok8-hue-ling5-ki,sio̍k-hue-lîng-ki,俗飛行機,廉航,匿名
165,sui2-koo-niu5,súi-ko͘-niû,sui2-koo-niu5,suí-koo-niû,媠姑娘,正妹,匿名
166,siu3-chai5 siu3-chai5 khia5 be2 long7-long7-lai5,siù-châi siù-châi khiâ bé lōng-lōng-lâi,siu3-tsai5 siu3-tsai5 khia5 be2 long7-long7-lai5,siù-tsâi siù-tsâi khiâ bé lōng-lōng-lâi,秀才秀才騎馬弄弄來,書呆子,薛丞宏
167,ke-cheng-a2/koe-cheng-a2,ke-cheng-á/koe-cheng-á,ke-tsing-a2/kue-tsing-a2,ke-tsing-á/kue-tsing-á,雞鐘仔,鬧鐘,Van  Lai
168,bah-ba5,bah-bâ,bah-ba5,bah-bâ,肉麻,肉麻,匿名
169,thoo5-pi-a2,thô͘-pi-á,thoo5-pi-a2,thôo-pi-á,塗觱仔,陶笛,Seng-hian Lau
170,thoo5-pi-pu,thô͘-pi-pu,thoo5-pi-pu,thôo-pi-pu,塗觱哹,陶笛,Seng-hian Lau
171,iau2-siu7-kui2,iáu-siū-kúi,iau2-siu7-kui2,iáu-siū-kuí,夭壽鬼,肉麻,Fu-Hsuan Ju
172,chhit-ho7 kam2-a2-tiam3,chhit-hō kám-á-tiàm,tshit-ho7 kam2-a2-tiam3,tshit-hō kám-á-tiàm,七號𥴊仔店,7-11,Lîm Tshong-bîng
173,chhai3-thau5-koe2/chhai3-thau5-ke2,chhài-thâu-kóe/chhài-thâu-ké,tshai3-thau5-kue2/tshai3-thau5-ke2,tshài-thâu-kué/tshài-thâu-ké,菜頭粿,蘿蔔糕,薛丞宏
174,khi2 ke-bo2-phoe5/khi2 koe-bo2-phe5,khí ke-bó-phôe/khí koe-bó-phê,khi2 ke-bo2-phue5/khi2 kue-bo2-phe5,khí ke-bó-phuê/khí kue-bó-phê,起雞母皮,肉麻,匿名
175,hoan-hoan,hoan-hoan,huan-huan,huan-huan,番番,無理取鬧,匿名
176,bu7-sa3-sa3,bū-sà-sà,bu7-sa3-sa3,bū-sà-sà,霧嗄嗄,不清楚,薛丞宏
177,kan2-na2 pat khoann3--koe3,kán-ná pat khòaⁿ--kòe,kan2-na2 pat khuann3--kue3,kán-ná pat khuànn--kuè,敢若捌看過,似曾相識,匿名
178,sian-jin5-chiong2 /sian-lin5-chiong2,sian-jîn-chióng /sian-lîn-chióng,sian-jin5-tsiong2 /sian-lin5-tsiong2,sian-jîn-tsióng /sian-lîn-tsióng,仙人掌,仙人掌,Justin Richard Leung
179,sian-pa-chiong2,sian-pa-chióng,sian-pa-tsiong2,sian-pa-tsióng,仙巴掌,仙人掌,Justin Richard Leung
180,sian-jin5-chhau2/sian-lin5-chhau2,sian-jîn-chháu/sian-lîn-chháu,sian-jin5-tshau2/sian-lin5-tshau2,sian-jîn-tsháu/sian-lîn-tsháu,仙人草,仙人掌,Justin Richard Leung
181,chhi3-kiu5,chhì-kiû,tshi3-kiu5,tshì-kiû,刺球,仙人掌,Justin Richard Leung
182,kai3-hoe2-chhau2/kai3-he2-,kài-hóe-chháu/kài-hé-,kai3-hue2-tshau2/kai3-he2-,kài-hué-tsháu/kài-hé-,戒火草,仙人掌,Justin Richard Leung
183,bah-kam2 niu5-le2,bah-kám niû-lé,bah-kam2 niu5-le2,bah-kám niû-lé,肉感娘嬭,辣媽,匿名
184,Tai5-gi2/Tai5-gu2,Tâi-gí/Tâi-gú,Tai5-gi2/Tai5-gu2,Tâi-gí/Tâi-gú,臺語,臺語,莊銘彥
185,cheng2-kah-chian2-a2,chéng-kah-chián-á,tsing2-kah-tsian2-a2,tsíng-kah-tsián-á,指甲剪仔,指甲剪,匿名
186,kin-a2-jit8 siong7 tui3-tang5,kin-á-ji̍t siōng tùi-tâng,kin-a2-jit8 siong7 tui3-tang5,kin-á-ji̍t siōng tuì-tâng,今仔日上對筒,本日最中肯,匿名
187,soo3 thiau7-a2,sò͘ thiāu-á,soo3 thiau7-a2,sòo thiāu-á,溯柱仔,爬竿,匿名
188,ka-na2-boo,ka-ná-bo͘,ka-na2-boo,ka-ná-boo,金棒,單槓,匿名
189,bah-kam2 me7-a2,bah-kám mē-á,bah-kam2 me7-a2,bah-kám mē-á,肉感妹仔,辣妹,匿名
190,pang3 san2-khui3,pàng sán-khùi,pang3 san2-khui3,pàng sán-khuì,放瘦氣,放閃,匿名
191,ti3-hui7-heng5 chhiu2-ki,tì-hūi-hêng chhiú-ki,ti3-hui7-hing5 tshiu2-ki,tì-huī-hîng tshiú-ki,智慧型手機,智慧型手機,匿名
192,pin chu2 chin7 hoan,pin chú chīn hoan,pin tsu2 tsin7 huan,pin tsú tsīn huan,賓主盡歡,賓主盡歡,匿名
193,kin-a2-jit8 siong7 tui3-tang5,kin-á-ji̍t siōng tùi-tâng,kin-a2-jit8 siong7 tui3-tang5,kin-á-ji̍t siōng tuì-tâng,今仔日上對同,本日最中肯,匿名
194,khiam3 chit8 kha,khiàm chi̍t kha,khiam3 tsit8 kha,khiàm tsi̍t kha,欠一跤,三缺一,Moogoo Lee
195,jiau5-sun5/liau5-sun5,jiâu-sûn/liâu-sûn,jiau5-sun5/liau5-sun5,jiâu-sûn/liâu-sûn,皺巡,皺褶,匿名
196,bin7-sek peh8-si,bīn-sek pe̍h-si,bin7-sik peh8-si,bīn-sik pe̍h-si,面色白屍,臉色慘白,邱文錫
197,kin-jit8 siang7 kong-to7/kin-lit8 siong7 kong-to7,kin-ji̍t siāng kong-tō/kin-li̍t siōng kong-tō,kin-jit8 siang7 kong-to7/kin-lit8 siong7 kong-to7,kin-ji̍t siāng kong-tō/kin-li̍t siōng kong-tō,今日上公道,本日最中肯,匿名
198,kin-a2-jit8 siong7 sui2-khui3,kin-á-ji̍t siōng súi-khùi,kin-a2-jit8 siong7 sui2-khui3,kin-á-ji̍t siōng súi-khùi,今仔日上媠氣,本日最中肯,Usiong Koo
199,phoo,pho͘,phoo,phoo,鋪,po,匿名
200,kian3-siau3 bo5 te2,kiàn-siàu bô té,kian3-siau3 bo5 te2,kiàn-siàu bô té,見笑無底,秀下限,匿名
201,kian2-siau3 bo5 ti2-chi2,kián-siàu bô tí-chí,kian2-siau3 bo5 ti2-tsi2,kián-siàu bô tí-tsí,見笑無底止,秀下限,匿名
