"DictWordID","PojUnicode","PojUnicodeOthers","PojInput","PojInputOthers","KipUnicode","KipUnicodeOthers","KipInput","KipInputOthers","HoaBun","EngBun","KaisoehEngbun","NounClassifier","LesuPoj","Opposite","LekuPoj","LekuEngbun","LekuHoabun","Confer","PageNumber"
"45","ài-khùn","","ai3-khun3","","ài-khùn","","ai3-khun3","","愛睡的","to be sleepy","","","","","Lí ē ài-khùn--bē? Góa chin ài-khùn.","Are you sleepy? I am very sleepy.","你睏嗎？我很睏","","9"
"46","ài-jîn","","ai3-jin5","","ài-jîn","","ai3-jin5","","愛人、意中人","a sweetheart","","","","","","","","","9"
"47","ài-chêng","","ai3-cheng5","","ài-tsîng","","ai3-tsing5","","愛情","love, affection","","","","","Pē-bú ê ài-chêng sī pí soaⁿ khah koân, pí hái khah chhim.","Parent’s love is higher than the mountains and deeper than the sea.","父母的愛情是比山還高，比海還深。","","9"
"48","ài-kok-sim","","ai3-kok-sim","","ài-kok-sim","","ai3-kok-sim","","愛國心","patriotism","","","","","I sī chi̍t ê chin ū ài-kok-sim ê eng-hiông.","He is a hero of patriotism.","他是一個很有愛國心的英雄","","9"
"49","ai-kiû","","ai-kiu5","","ai-kiû","","ai-kiu5","","哀求、懇求","to entreat, petition, request","","","","","I ai-kiû góa tio̍h chi̍t chheng kho͘ chioh--i.","He is requesting me to lend him a thousand dollars.","他懇求我得把壹千元借給他","","9"
"50","ai-keng","","ai-keng","","ai-king","","ai-king","","哀矜","works of mercy, charitable deeds","","","","","Chò bô lâng khòaⁿ--kìⁿ ê ai-keng, Thian-chú lóng ē chai-iáⁿ.","If one does a charitable deed, which no one sees, God will know all about it.","做沒有被別人看到的哀矜，天主都會知道","","10"
"51","ai-ki̍p","","ai-kip8","","ai-ki̍p","","ai-kip8","","埃及","Egypt","","","","","","","","","10"
"52","ài-māi","","ai3-mai7","","ài-māi","","ai3-mai7","","曖昧","underhand, deceitful","","","","","Tùi kim-chîⁿ chi̍t-sut-lá to m̄-thang ài-māi.","Don’t be deceitful (underhand) about the least bit of money.","對金錢一點也不要曖昧(馬虎)","","10"
"53","āiⁿ","","ainn7","","āinn","","ainn7","","背","to carry a person on one's back","","","","","Hit ê hū-jîn-lâng āiⁿ (or iāng) chi̍t ê gín-ná.","That woman is carrying a child on her back.","那個婦人背一個小孩子","","10"
"54","ak-hoe","","ak-hoe","","ak-hue","","ak-hue","","澆水（花）","to water flowers","","","","","","","","","10"
"55","ak-hō͘","","ak-hoo7","","ak-hōo","","ak-hoo7","","淋雨","to be caught in the rain","","","","","M̄-thang chhut-khì gōa-bīn ak hō͘.","Don’t go outside and get caught in the rain.","不要出去外面淋雨","","11"
"56","ak-tio̍h-hō͘","","ak-tioh8-hoo7","","ak-tio̍h-hōo","","ak-tioh8-hoo7","","淋著雨","past participle of [ak-hoo7]","","","","","Góa cha-hng khì sàm-pō͘ ê sî ū ak-tio̍h hō͘./Saⁿ m̄-thang phi tòa hia, ē ak-tio̍h hō͘.","Yesterday, when I went for a walk, I was caught in the rain.\Don’t hang out the clothes over there, they will be soaked in the rain.","我昨天去散步的時候淋到了雨/衣服不要晾在那裡，會淋到雨","","11"
"57","ak-chúi","","ak-chui2","","ak-tsuí","","ak-tsui2","","澆水","to water, to sprinkle","","","","","Chin kú bô lo̍h-hō͘, hoe tio̍h ài ak chiú.","It has not rained for a long time, the flowers must be watered.","很久沒有下雨，花木要澆水","","11"
"58","ak-chhiú","","ak-chhiu2","","ak-tshiú","","ak-tshiu2","","握手","a hand-shake, to shake hand","","","","","I ū kap góa ak-chhiú.","He shook hands with me.","他和我握手","","11"
"59","àm-sî","","am3-si5","","àm-sî","","am3-si5","","晚上","at night","","","","","","","","","12"
"60","àm","","am3","","àm","","am3","","暗","dark","","","eng-àm/chang-àm/boeh-àm-á","kng","","","","","12"
"61","eng-àm","","eng-am3","","ing-àm","","ing-am3","","今天晚上","tonight","","","","","","","","àm","12"
"62","chang-àm","","chang-am3","","tsang-àm","","tsang-am3","","昨天晚上","last-night","","","","","","","","àm","12"
"63","boeh-àm-á","boeh-àm-á-sî","boeh-am3-a2","boeh-am3-a2-si5","bueh-àm-á","bueh-àm-á-sî","bueh-am3-a2","bueh-am3-a2-si5","黃昏","at dusk","","","","","I boeh-àm-á chiū ē tńg--lâi.","He will come back at dusk.","他傍晚就會囘來","àm","12"
"64","àm-khò","","am3-kho3","","àm-khò","","am3-kho3","","晚課","night prayers","","","liām àm-khò","","","","","","12"
"65","liām àm-khò","","liam7 am3-kho3","","liām àm-khò","","liam7 am3-kho3","","念晚課","to say night prayers","","","","","","","","àm-khò","12"
"66","ám","khó","am2","kho2","ám","khó","am2","kho2","泔","rice water, watery","","","","","","","","","12"
"67","ám-môe","","am2-moe5","","ám-muê","","am2-mue5","","稀飯","congee, rice boiled very soft and watery","","","","","","","","","12"
"68","àm-kì","","am3-ki3","","àm-kì","","am3-ki3","","暗記、背念","memorizing, to memorize","","","","","Chit khò tio̍h-ài àm-kì khí--lâi.","You must memorize this lesson.","這課你要暗記(背念)起來","","12"
"69","àm-siōng","","am3-siong7","","àm-siōng","","am3-siong7","","背誦","to recite, recitation","","","","","Lí ē-hiáu àm-siōng Siōng Téng Thòng-hóe Keng--bē?","Can you recite the act of perfect contrition?","你會不會背誦(背念)上等痛悔經嗎？","","13"
"70","àm-hō","","am3-ho7","","àm-hō","","am3-ho7","","暗號","a cipher, a code-word, a password, a signal","","","","","","","","","13"
"71","àm-sek","","am3-sek","","àm-sik","","am3-sik","","暗室","a dark room for photography","","","","","","","","","13"
"72","àm-sat","","am3-sat","","àm-sat","","am3-sat","","暗殺","to assassinate","","","","","Hit ê lâng siūⁿ boeh àm-sat Bí-kok chóng-thóng.","That fellow is planning to assassinate the president of America.","那個人想要暗殺美國總統","","13"
"73","àm-sī","","am3-si7","","àm-sī","","am3-si7","","暗示","a hint, to suggest","","","","","Chit tiâu soàn-su̍t, lí nā kā I àm-sī, i chiū ē hiáu sǹg.","If you would give him a hint, he would be able to solve this problem (in mathematics).","這題算術你若給他暗示，他就會算","","13"
"74","âm-khang","","am5-khang","","âm-khang","","am5-khang","","暗渠、暗溝","an underdrain, a subterranean drain","","","","","Âm-khang that-le chúi bē lâu, ài chheng-chheng--lè!","The drain is stopped up; it must be cleared.","暗溝堵塞着水不流，把他清一清","","14"
"75","án-chóaⁿ","chái-iūⁿ/ná","an2-choann2","chai2-iunn7/na2","án-tsuánn","tsái-iūnn/ná","an2-tsuann2","tsai2-iunn7/na2","怎麼","Why? How?","","","","","","","","","14"
"76","án-ni","","an2-ni","","án-ni","","an2-ni","","這樣、如此","thus, so","","","","","","","","","14"
"77","ân","","an5","","ân","","an5","","緊","tight","","","","lēng","","","","","14"
"78","an-choân","","an-choan5","","an-tsuân","","an-tsuan5","","安全","safe, reliable, safety","","","an-choân tē-it","gûi-hiám","","","","","14"
"79","an-choân tē-it","","an-choan5 te7-it","","an-tsuân tē-it","","an-tsuan5 te7-it","","安全第一","Safety first!","","","","","","","","an-choân","14"
"80","an-sim","","an-sim","","an-sim","","an-sim","","放心","to feel at ease, peace of mind, free from anxiety","","","","hoân-ló","Lí ê pīⁿ it-tēng ē hó, chhiáⁿ lí an-sim.","You certainly will recover from your sickness, please be at ease.","你的病一定會好，請你放心","","14"
"81","an-lo̍k","","an-lok8","","an-lo̍k","","an-lok8","","安樂","peaceful, comfortable","","","","kan-khó","Tâi-oân sī chin an-lo̍k ê só͘-chāi.","Formosa is a very peaceful place.","台灣是很安樂的地方","","15"
"82","an-ún","","an-un2","","an-ún","","an-un2","","安穩","quiet, peaceful, safety","","","","","An-ún kòe-ji̍t.","To live in peace and quiet. (To pass the days peacefully)","安穩過日","","15"
"83","an-ùi","","an-ui3","","an-uì","","an-ui3","","安慰","to comfort, console","","","","","I sí chi̍t ê gín-ná, sim-koaⁿ it-tēng chin kan-khó͘, lán lâi-khì kā i an-ùi.","He just lost a child, he is very much grieved, let’s go and console him.","他失掉一個孩子心肝一定真艱苦我們來去安慰他","","15"
"84","àn-sǹg","","an3-sng3","","àn-sǹg","","an3-sng3","","打算","intend to, presume, expect","","","","","Lí àn-sǹg boeh tòa Tâi-pak kúi ji̍t?/Góa àn-sǹg ē hó thiⁿ, soah bô tòa hō͘-sòaⁿ lâi.","How many days do you expect to stay in Taipei?\I thought the weather would be good, so I did not bring an umbrella.","你打算在台北住幾天/我打算天會放晴，所以沒有帶雨傘來","","15"
"85","àn-kiāⁿ","","an3-kiann7","","àn-kiānn","","an3-kiann7","","案件","a case","","","","","Lu̍t-su kóng chit ê àn-kiâⁿ chin hùi-khì.","The lawyer said this case is very troublesome.","律師說這個案件很麻煩","","16"
"86","âng","","ang5","","âng","","ang5","","紅","red","","","","","","","","","16"
"87","âng-sek","","ang5-sek","","âng-sik","","ang5-sik","","紅色","red color.","","","","","","","","","16"
"88","âng-tê","","ang5-te5","","âng-tê","","ang5-te5","","紅茶","black tea","","","","","","","","","16"
"89","âng-iⁿ-á","âng-eⁿ-á","ang5-inn-a2","ang5-enn-a2","âng-inn-á","âng-enn-á","ang5-inn-a2","ang5-enn-a2","嬰孩","an infant","","","seⁿ âng-eⁿ-á","","","","","","16"
"90","seⁿ âng-eⁿ-á","siⁿ âng-iⁿ-á","senn ang5-enn-a2","sinn ang5-inn-a2","senn âng-enn-á","sinn âng-inn-á","senn ang5-enn-a2","sinn ang5-inn-a2","生嬰孩","to give birth to a baby","","","","","","","","âng-iⁿ-á","16"
"91","ang-á","","ang-a2","","ang-á","","ang-a2","","玩偶、洋娃娃、卡通","a doll, drawings","","","","","","","","","16"
"92","ang-á tô͘","","ang-a2 too5","","ang-á tôo","","ang-a2 too5","","卡通、圖畫","cartoons, comics","","","","","Gín-ná ài khòaⁿ ang-á tô͘.","Kids like to look at cartoons. (comics)","孩子們喜歡看卡通","","16"
"93","ang","","ang","","ang","","ang","","丈夫","husband","","","","","Ang tio̍h-ài thàn chîⁿ chhī bó͘-kiáⁿ.","A husband ought to earn money to support his wife and rear his children.","丈夫必須賺錢養妻子","","17"
"94","ang-bó͘","","ang-boo2","","ang-bóo","","ang-boo2","","夫妻","husband and wife","","","","","","","","","17"
"95","âng-phôe-chhài","kiô","ang5-phoe5-chhai3","kio5","âng-phuê-tshài","kiô","ang5-phue5-tshai3","kio5","茄子","an egg plant (lit. red skin vegetable)","","","","","","","","","17"
"96","âng-mô͘-thô͘","âng-mn̂g-thô͘/chúi-nî","ang5-moo5-thoo5","ang5-mng5-thoo5/chui2-ni5","âng-môo-thôo","âng-mn̂g-thôo/tsuí-nî","ang5-moo5-thoo5","ang5-mng5-thoo5/tsui2-ni5","水泥","cement","","","","","Chhù-lāi ê thô͘-kha lóng ài boah âng-mô͘-thô͘.","All the floors in the house must be made of cement.","家裡的地板都要塗上水泥","","17"
"97","a̍p","","ap8","","a̍p","","ap8","","盒","a little box","","","","","","","","","17"
"98","ap-pek","","ap-pek","","ap-pik","","ap-pik","","壓迫","to press, pressure, to oppress, to force","","","","","M̄-thang ap-pek lâng chò bô-lí ê tāi-chì.","Don’t force people to do things that are unreasonable.","不要壓迫他人做無理的事情","","17"
"99","at","","at","","at","","at","","折","to break, to snap (things which have the classifier ""[KI]"")","","","","","Chit ki tek-á lí at khòaⁿ ē tn̄g--bē.","See if you can break this piece of bamboo in two.","這根竹竿你折得斷嗎？","","18"
"100","āu","","au7","","āu","","au7","","後","behind","","","","","","","","","18"
"101","āu-piah","","au7-piah","","āu-piah","","au7-piah","","後面","behind","","","","","","","","","18"
"102","āu-bīn","","au7-bin7","","āu-bīn","","au7-bin7","","後面","behind","","","","","","","","","18"
"103","āu-pái","","au7-pai2","","āu-pái","","au7-pai2","","下次、往後","next time, in the future","","","","","","","","","18"
"104","āu-lâi","","au7-lai5","","āu-lâi","","au7-lai5","","後來","after, afterwards","","","","","","","","","18"
"105","āu--ji̍t","","au7--jit8","","āu--ji̍t","","au7--jit8","","後天","the day of tomorrow","","","","","","","","","18"
"106","āu-ji̍t","","au7-jit8","","āu-ji̍t","","au7-jit8","","後來、以後","on some indefinite day in the future","","","","","","","","","18"
"107","āu","","au7","","āu","","au7","","後、下","next, the one following","","","","","","","","","18"
"108","āu-kù","","au7-ku3","","āu-kù","","au7-ku3","","下句","the next sentence","","","","","","","","","19"
"109","āu lé-pài","","au7 le2-pai3","","āu lé-pài","","au7 le2-pai3","","下個禮拜（星期）","next week","","","","","","","","","19"
"110","āu-chú-ji̍t","","au7-chu2-jit8","","āu-tsú-ji̍t","","au7-tsu2-jit8","","下個主日","next Sunday","","","","","","","","","19"
"111","āu-kó͘-goe̍h","","au7-koo2-goeh8","","āu-kóo-gue̍h","","au7-koo2-gueh8","","下個月","next month","","","","","","","","","19"
"112","āu-goe̍h-ji̍t","","au7-goeh8-jit8","","āu-gue̍h-ji̍t","","au7-gueh8-jit8","","下個月","next month","","","","","","","","","19"
"113","āu lé-pài gō͘","","au7 le2-pai3 goo7","","āu lé-pài gōo","","au7 le2-pai3 goo7","","下個禮拜五","next Friday","","","","","","","","","19"
"114","āu-nî","","au7-ni5","","āu-nî","","au7-ni5","","將來","some future year","","","","","","","","","19"
"115","āu--nî","","au7--ni5","","āu--nî","","au7--ni5","","後年","year after next","","","","","","","","","19"
"116","au-á","","au-a2","","au-á","","au-a2","","甌、杯子","cup","","","tê au-á/chi̍t au tê/chi̍t au chúi","","","","","","19"
"117","tê au-á","","te5 au-a2","","tê au-á","","te5 au-a2","","茶杯","tea cup","","","","","","","","au-á","19"
"118","chi̍t au tê","","chit8 au te5","","tsi̍t au tê","","tsit8 au te5","","一杯茶","a cup of tea","","","","","","","","au-á","19"
"119","chi̍t au chúi","","chit8 au chui2","","tsi̍t au tsuí","","tsit8 au tsui2","","一杯酒","a cup of wine","","","","","","","","au-á","19"
"120","au-chiu","","au-chiu","","au-tsiu","","au-tsiu","","歐洲","Europe","","","","","","","","","19"
"121","àu","","au3","","àu","","au3","","腐","rotten","","","","","Chit tè ti-bah àu--khì--à.","This piece of pork is spoiled.","這塊猪肉腐爛了","","19"
"122","áu","","au2","","áu","","au2","","折","to bend","","","","","Chit ki tek-á áu bē tn̄g.","This stick of bamboo will not break when it is bent.","這根竹子折不斷","","20"
"123","āu-bú","āu-bó","au7-bu2","au7-bo2","āu-bú","āu-bó","au7-bu2","au7-bo2","後母、繼母","a stepmother","","","","","","","","","20"
"124","bā","","ba7","","bā","","ba7","","碼","one yard, 3 ft.","","","","","","","","","20"
"125","bâ","","ba5","","bâ","","ba5","","麻痹","numb","","","","","Góa kūi chin kú, só͘-í kha chin bâ.","I have been kneeling for a long time, so my legs are numb.","我跪了很久，所以脚很麻","","20"
"126","bâ-io̍h","","ba5-ioh8","","bâ-io̍h","","ba5-ioh8","","麻醉藥","a narcotic, an anaesthetic","","","","","","","","","20"
"127","bā","ba̍t","ba7","bat8","bā","ba̍t","ba7","bat8","緊、密合的、密閉的","(to shut or to cover) tight, fast","","","","","Chit sìⁿ mn̂g koaiⁿ bē bā (or ba̍t)./Chit ê a̍p-á-kòa khàm ē bā (or ba̍t)./Chit ê pêng-iú kap góa chin bā (but not ba̍t).","This door is not closed tight.\The cover of this box is on very tight.\This friend is very close to me.","Chit sìⁿ mn̂g koaiⁿ bē bā (or ba̍t)./Chit ê a̍p-á-kòa khàm ē bā (or ba̍t)./Chit ê pêng-iú kap góa chin bā (but not ba̍t).","","20"
"128","bah","","bah","","bah","","bah","","肉","meat","","","ti-bah/gû-bah/iûⁿ-bah/ke-bah/ah-bah/chiaⁿ-bah/pûi-bah","","","","","","21"
"129","ti-bah","","ti-bah","","ti-bah","","ti-bah","","猪肉","pork","","","","","","","","bah","21"
"130","gû-bah","","gu5-bah","","gû-bah","","gu5-bah","","牛肉","beef","","","","","","","","bah","21"
"131","iûⁿ-bah","","iunn5-bah","","iûnn-bah","","iunn5-bah","","羊肉","mutton","","","","","","","","bah","21"
"132","ke-bah","","ke-bah","","ke-bah","","ke-bah","","鷄肉","chicken","","","","","","","","bah","21"
"133","ah-bah","","ah-bah","","ah-bah","","ah-bah","","鴨肉","duck","","","","","","","","bah","21"
"134","chiaⁿ-bah","sán-bah","chiann-bah","san2-bah","tsiann-bah","sán-bah","tsiann-bah","san2-bah","瘦肉","lean meat","","","","","","","","bah","21"
"135","pûi-bah","","pui5-bah","","puî-bah","","pui5-bah","","肥肉","fat","","","","","","","","bah","21"
"136","bah-thng","","bah-thng","","bah-thng","","bah-thng","","肉湯","gravy","","","","","Bah-thng siuⁿ kiâm.","The gravy is too salty.","肉湯過鹹","","21"
"137","bah-suh","","bah-suh","","bah-suh","","bah-suh","","公共汽車、巴士","a bus","","","","","","","","","22"
"138","bái","","bai2","","bái","","bai2","","醜","ugly, bad","","","","súi","","","","","22"
"139","bāi","","bai7","","bāi","","bai7","","看","a suffix, to try","","","chhì khòaⁿ-bāi/chia̍h khòaⁿ bāi/khì khòaⁿ bāi/chò khòaⁿ-bāi/phīⁿ khòaⁿ bāi","","","","","","22"
"140","chhì khòaⁿ-bāi","","chhi3 khoann3-bai7","","tshì khuànn-bāi","","tshi3 khuann3-bai7","","試試看","to try","","","","","Lí kóng ē-hiáu chò, chhì khòaⁿ-bāi--lè!","You say you can do it, go try it!","你説你會做，試試看","bāi","22"
"141","chia̍h khòaⁿ bāi","","chiah8 khoann3 bai7","","tsia̍h khuànn bāi","","tsiah8 khuann3 bai7","","吃吃看","to try to eat, to taste","","","","","","","","bāi","22"
"142","khì khòaⁿ bāi","","khi3 khoann3 bai7","","khì khuànn bāi","","khi3 khuann3 bai7","","去看看","go and take a look","","","","","","","","bāi","22"
"143","chò khòaⁿ-bāi","","cho3 khoann3-bai7","","tsò khuànn-bāi","","tso3 khuann3-bai7","","做做看","try to do it","","","","","","","","bāi","22"
"144","phīⁿ khòaⁿ bāi","","phinn7 khoann3 bai7","","phīnn khuànn bāi","","phinn7 khuann3 bai7","","聞聞看","smell it","","","","","","","","bāi","22"
