"id","poj_unicode","poj_input","kip_unicode","kip_input","hanlo_taibun_poj","hanlo_taibun_kip","hoabun","english","poochhiong_chuliau","muithe_miachheng","hongsang_jitki","liankiat"
"41","thn̂g-chéng kang-tiûⁿ","thng5-cheng2 kang-tiunn5","thn̂g-tsíng kang-tiûnn","thng5-tsing2 kang-tiunn5","傳種工場","傳種工場","育種工場,繁殖場","","","【民視台灣學堂】台語講世事","2017.12.07","https://youtu.be/Iri6ABPiOME"
"42","thn̂g-chéng","thng5-cheng2","thn̂g-tsíng","thng5-tsing2","傳種","傳種","育種","","","【民視台灣學堂】台語講世事","2017.12.07","https://youtu.be/Iri6ABPiOME"
"43","ap-le̍k","ap-lek8","ap-li̍k","ap-lik8","壓力","壓力","壓力","","","【民視台灣學堂】台語講世事","2017.12.07","https://youtu.be/Iri6ABPiOME"
"44","sèⁿ-miā kàu-io̍k","senn3-mia7 kau3-iok8","sènn-miā kàu-io̍k","senn3-mia7 kau3-iok8","性命教育","性命教育","生命教育","","","【民視台灣學堂】台語講世事","2017.12.07","https://youtu.be/Iri6ABPiOME"
"45","liông-siān","liong5-sian7","liông-siān","liong5-sian7","良善","良善","善良","","","【民視台灣學堂】台語講世事","2017.12.07","https://youtu.be/Iri6ABPiOME"
"46","pun","pun","pun","pun","分","分","領養","","","【民視台灣學堂】台語講世事","2017.12.07","https://youtu.be/Iri6ABPiOME"
"47","ióng-kiāⁿ","iong2-kiann7","ióng-kiānn","iong2-kiann7","勇健","勇健","健康勇壯","","","【民視台灣學堂】台語講世事","2017.12.07","https://youtu.be/Iri6ABPiOME"
"48","thêng-su","theng5-su","thîng-su","thing5-su","程序","程序","程序","","","【民視台灣學堂】台語講世事","2017.12.07","https://youtu.be/Iri6ABPiOME"
"49","tōng-bu̍t-chi-ka","tong7-but8-chi-ka","tōng-bu̍t-tsi-ka","tong7-but8-tsi-ka","動物之家","動物之家","動物之家","","","【民視台灣學堂】台語講世事","2017.12.07","https://youtu.be/Iri6ABPiOME"
"50","têng-su","teng5-su","tîng-su","ting5-su","程序","程序","程序","","","【民視台灣學堂】台語講世事","2017.12.07","https://youtu.be/Iri6ABPiOME"
"51","gē-jîn","ge7-jin5","gē-jîn","ge7-jin5","藝人","藝人","藝人","","","【民視台灣學堂】台語講世事","2017.12.07","https://youtu.be/Iri6ABPiOME"
"52","soan-thoân","soan-thoan5","suan-thuân","suan-thuan5","宣傳","宣傳","宣傳","","","【民視台灣學堂】台語講世事","2017.12.07","https://youtu.be/Iri6ABPiOME"
"53","siā-kûn mûi-thé","sia7-kun5 mui5-the2","siā-kûn muî-thé","sia7-kun5 mui5-the2","社群媒體 ","社群媒體 ","社群媒體","","","【民視台灣學堂】台語講世事","2017.12.07","https://youtu.be/Iri6ABPiOME"
"54","káu-á-phōaⁿ","kau2-a2-phoann7","káu-á-phuānn","kau2-a2-phuann7","狗仔伴","狗仔伴","狗主子","","","【民視台灣學堂】台語講世事","2017.12.07","https://youtu.be/Iri6ABPiOME"
"55","thn̂g-chéng","thng5-cheng2","thn̂g-tsíng","thng5-tsing2","傳種","傳種","傳種","","相關詞：thn̂g-chéng kang-tiûⁿ(傳種工場)","【民視台灣學堂】台語講世事","2017.12.07","https://youtu.be/Iri6ABPiOME"
"56","chio̍h-á","chioh8-a2","tsio̍h-á","tsioh8-a2","石仔","石仔","晶片","","相關詞：khǹg chio̍h-á(囥石仔), khǹg chiⁿ-phìⁿ(囥晶片)","【民視台灣學堂】台語講世事","2017.12.07","https://youtu.be/Iri6ABPiOME"
"57","sio-e-sio-kheh","sio-e-sio-kheh","sio-e-sio-kheh","sio-e-sio-kheh","相挨相kheh","相挨相kheh","擠在一起","","","【民視台灣學堂】台語講世事","2017.12.07","https://youtu.be/Iri6ABPiOME"
"58","lêng-thâi-sat","leng5-thai5-sat","lîng-thâi-sat","ling5-thai5-sat","零刣殺","零刣殺","零撲殺","","","【民視台灣學堂】台語講世事","2017.12.07","https://youtu.be/Iri6ABPiOME"
"59","liû-lōng tōng-bu̍t","liu5-long7 tong7-but8","liû-lōng tōng-bu̍t","liu5-long7 tong7-but8","流浪動物","流浪動物","流浪動物,浪浪","","","【民視台灣學堂】台語講世事","2017.12.07","https://youtu.be/Iri6ABPiOME"
"60","goân-thâu koán-lí","goan5-thau5 koan2-li2","guân-thâu kuán-lí","guan5-thau5 kuan2-li2","源頭管理","源頭管理","源頭管理","","","【民視台灣學堂】台語講世事","2017.12.07","https://youtu.be/Iri6ABPiOME"
"61","bóe-liu koán-lí","boe2-liu koan2-li2","bué-liu kuán-lí","bue2-liu kuan2-li2","尾溜管理","尾溜管理","尾端管理","","","【民視台灣學堂】台語講世事","2017.12.07","https://youtu.be/Iri6ABPiOME"
"62","chhui-sak","chhui-sak","tshui-sak","tshui-sak","推sak","推sak","推動","","","【民視台灣學堂】台語講世事","2017.12.07","https://youtu.be/Iri6ABPiOME"
"63","pàng-sak","pang3-sak","pàng-sak","pang3-sak","放拺","放拺","拋棄","","","【民視台灣學堂】台語講世事","2017.12.07","https://youtu.be/Iri6ABPiOME"
"64","khòaⁿ-thāi","khoann3-thai7","khuànn-thāi","khuann3-thai7","看待","看待","看待","","","【民視台灣學堂】台語講世事","2017.12.07","https://youtu.be/Iri6ABPiOME"
"65","chhú-tè","chhu2-te3","tshú-tè","tshu2-te3","取締","取締","取締","","","【民視台灣學堂】台語講世事","2017.12.07","https://youtu.be/Iri6ABPiOME"
"66","chhò-si","chho3-si","tshò-si","tsho3-si","措施","措施","措施","","","【民視台灣學堂】台語講世事","2017.12.07","https://youtu.be/Iri6ABPiOME"
"67","gia̍p-chiá","giap8-chia2","gia̍p-tsiá","giap8-tsia2","業者","業者","業者","","","【民視台灣學堂】台語講世事","2017.12.07","https://youtu.be/Iri6ABPiOME"
"68","kàm-tok chèng-hú","kam3-tok cheng3-hu2","kàm-tok tsìng-hú","kam3-tok tsing3-hu2","監督政府","監督政府","監督政府","","","【民視台灣學堂】台語講世事","2017.12.07","https://youtu.be/Iri6ABPiOME"
"69","chù ī-hông-siā","chu3 i7-hong5-sia7","tsù ī-hông-siā","tsu3 i7-hong5-sia7","注預防射","注預防射","接種疫苗","","","【民視台灣學堂】台語講世事","2017.12.07","https://youtu.be/Iri6ABPiOME"
"70","chù ū-hông-siā","chu3 u7-hong5-sia7","tsù ū-hông-siā","tsu3 u7-hong5-sia7","注預防射","注預防射","接種疫苗","","","【民視台灣學堂】台語講世事","2017.12.07","https://youtu.be/Iri6ABPiOME"
"71","pun káu-á lâi chhī","pun kau2-a2 lai5 chhi7","pun káu-á lâi tshī","pun kau2-a2 lai5 tshi7","分狗仔來飼","分狗仔來飼","認養犬隻","","","【民視台灣學堂】台語講世事","2017.12.07","https://youtu.be/Iri6ABPiOME"
"72","an-lo̍k-sí","an-lok8-si2","an-lo̍k-sí","an-lok8-si2","安樂死","安樂死","安樂死","","","【民視台灣學堂】台語講世事","2017.12.07","https://youtu.be/Iri6ABPiOME"
"73","khang-phāng","khang-phang7","khang-phāng","khang-phang7","空縫","空縫","漏洞","","","【民視台灣學堂】台語講世事","2017.12.07","https://youtu.be/Iri6ABPiOME"
"74","siu-iông-só͘","siu-iong5-soo2","siu-iông-sóo","siu-iong5-soo2","收容所","收容所","收容所","","","【民視台灣學堂】台語講世事","2017.12.07","https://youtu.be/Iri6ABPiOME"
"75","khǹg cheng-phìⁿ","khng3 cheng-phinn3","khǹg tsing-phìnn","khng3 tsing-phinn3","khǹg晶片","khǹg晶片","植入晶片","","","【民視台灣學堂】台語講世事","2017.12.07","https://youtu.be/Iri6ABPiOME"
"76","êng-gia̍p chip-chiàu","eng5-giap8 chip-chiau3","îng-gia̍p tsip-tsiàu","ing5-giap8 tsip-tsiau3","營業執照","營業執照","營業執照","","","【民視台灣學堂】台語講世事","2017.12.07","https://youtu.be/Iri6ABPiOME"
"77","Káu lâi pù, niau lâi khí tōa-chhù","Kau2 lai5 pu3, niau lai5 khi2 toa7-chhu3","Káu lâi pù, niau lâi khí tuā-tshù","Kau2 lai5 pu3, niau lai5 khi2 tua7-tshu3","狗來富，貓來起大厝","狗來富，貓來起大厝","","","相關詞：pù-hō(富戶), pù-hō-lâng(富戶人),hó-kiat-tiāu(好吉兆)","【民視台灣學堂】台語講世事","2017.12.07","https://youtu.be/Iri6ABPiOME"
"78","khêng-khêng--leh","kheng5-kheng5--leh","khîng-khîng--leh","khing5-khing5--leh","窮窮咧","窮窮咧","集中起來","","","【民視台灣學堂】台語講世事","2017.12.14","https://youtu.be/TgBqjsthUgM"
"79","pó-sioh si̍t-bu̍t","po2-sioh sit8-but8","pó-sioh si̍t-bu̍t","po2-sioh sit8-but8","寶惜食物","寶惜食物","珍惜食物","","相關詞：pó-sioh chia̍h-mi̍h(寶惜食物)","【民視台灣學堂】台語講世事","2017.12.14","https://youtu.be/TgBqjsthUgM"
"80","chhài-se","chhai3-se","tshài-se","tshai3-se","菜蔬","菜蔬","蔬菜","","相關詞：chhiⁿ-chhài(青菜)","【民視台灣學堂】台語講世事","2017.12.14","https://youtu.be/TgBqjsthUgM"
"81","khòng-thng","khong3-thng","khòng-thng","khong3-thng","炕湯","炕湯","熬湯","","","【民視台灣學堂】台語講世事","2017.12.14","https://youtu.be/TgBqjsthUgM"
"82","pó-sioh","po2-sioh","pó-sioh","po2-sioh","寶惜","寶惜","珍惜","","","【民視台灣學堂】台語講世事","2017.12.14","https://youtu.be/TgBqjsthUgM"
"83","kim-koe","kim-koe","kim-kue","kim-kue","金瓜","金瓜","南瓜","","","【民視台灣學堂】台語講世事","2017.12.14","https://youtu.be/TgBqjsthUgM"
"84","sioh-si̍t","sioh-sit8","sioh-si̍t","sioh-sit8","惜食","惜食","愛惜食物","","相關詞：sioh-chêng(惜情)","【民視台灣學堂】台語講世事","2017.12.14","https://youtu.be/TgBqjsthUgM"
"85","lo̍h-pûi","loh8-pui5","lo̍h-puî","loh8-pui5","落肥","落肥","堆肥","","","【民視台灣學堂】台語講世事","2017.12.14","https://youtu.be/TgBqjsthUgM"
"86","chú-chia̍h","chu2-chiah8","tsú-tsia̍h","tsu2-tsiah8","煮食","煮食","烹煮/烹調","","","【民視台灣學堂】台語講世事","2017.12.14","https://youtu.be/TgBqjsthUgM"
"87","cha̍p-hoe-gō͘ -sek","chap8-hoe-goo7 -sek","tsa̍p-hue-gōo -sik","tsap8-hue-goo7 -sik","十花五色","十花五色","五花十色","","","【民視台灣學堂】台語講世事","2017.12.14","https://youtu.be/TgBqjsthUgM"
"88","gō͘ -hoe-cha̍p-sek","goo7 -hoe-chap8-sek","gōo -hue-tsa̍p-sik","goo7 -hue-tsap8-sik","五花十色","五花十色","五花十色","","","【民視台灣學堂】台語講世事","2017.12.14","https://youtu.be/TgBqjsthUgM"
"89","hóe-ko","hoe2-ko","hué-ko","hue2-ko","火鍋","火鍋","火鍋","","相關詞：chia̍h-lô͘(食爐),ûi-lô͘(圍爐)","【民視台灣學堂】台語講世事","2017.12.14","https://youtu.be/TgBqjsthUgM"
"90","hé-ko","he2-ko","hé-ko","he2-ko","火鍋","火鍋","火鍋","","相關詞：chia̍h-lô͘(食爐),ûi-lô͘(圍爐)","【民視台灣學堂】台語講世事","2017.12.14","https://youtu.be/TgBqjsthUgM"
"91","koan-hoeh","koan-hoeh","kuan-hueh","kuan-hueh","捐血","捐血","捐血","","","【民視台灣學堂】台語講世事","2017.12.14","https://youtu.be/TgBqjsthUgM"
"92","koan-huih","koan-huih","kuan-huih","kuan-huih","捐血","捐血","捐血","","","【民視台灣學堂】台語講世事","2017.12.14","https://youtu.be/TgBqjsthUgM"
"93","chia̍h-lô͘","chiah8-loo5","tsia̍h-lôo","tsiah8-loo5","食爐","食爐","吃火鍋/吃鍋","","","【民視台灣學堂】台語講世事","2017.12.14","https://youtu.be/TgBqjsthUgM"
"94","sip-sip","sip-sip","sip-sip","sip-sip","濕濕","濕濕","濕冷","","","【民視台灣學堂】台語講世事","2017.12.14","https://youtu.be/TgBqjsthUgM"
"95","sio-lō","sio-lo7","sio-lō","sio-lo7","燒烙","燒烙","暖和","","相關詞：hô͘ -hô͘ (和和)","【民視台灣學堂】台語講世事","2017.12.14","https://youtu.be/TgBqjsthUgM"
"96","PM jī-tiám-gō͘","PM ji7-tiam2-goo7","PM jī-tiám-gōo","PM ji7-tiam2-goo7","PM 2.5","PM 2.5","PM 2.5","","","【民視台灣學堂】台語講世事","2017.12.14","https://youtu.be/TgBqjsthUgM"
"97","tāi-lio̍k léng-khì-thoân","tai7-liok8 leng2-khi3-thoan5","tāi-lio̍k líng-khì-thuân","tai7-liok8 ling2-khi3-thuan5","大陸冷氣團","大陸冷氣團","大陸冷氣團","","","【民視台灣學堂】台語講世事","2017.12.14","https://youtu.be/TgBqjsthUgM"
"98","kong-kiōng","kong-kiong7","kong-kiōng","kong-kiong7","公共","公共","公共","","","【民視台灣學堂】台語講世事","2017.12.14","https://youtu.be/TgBqjsthUgM"
"99","khoân-pó-sú","khoan5-po2-su2","khuân-pó-sú","khuan5-po2-su2","環保署","環保署","環保署","","","【民視台灣學堂】台語講世事","2017.12.14","https://youtu.be/TgBqjsthUgM"
"100","khan-sia̍p","khan-siap8","khan-sia̍p","khan-siap8","牽涉","牽涉","牽涉","","","【民視台灣學堂】台語講世事","2017.12.14","https://youtu.be/TgBqjsthUgM"
"101","phûn-tē","phun5-te7","phûn-tē","phun5-te7","盆地","盆地","盆地","","相關詞：óaⁿ-kong tē-hêng(碗公地形)","【民視台灣學堂】台語講世事","2017.12.14","https://youtu.be/TgBqjsthUgM"
"102","sī-têng","si7-teng5","sī-tîng","si7-ting5","視程","視程","能見度","","","【民視台灣學堂】台語講世事","2017.12.14","https://youtu.be/TgBqjsthUgM"
"103","sī-thêng","si7-theng5","sī-thîng","si7-thing5","視程","視程","能見度","","","【民視台灣學堂】台語講世事","2017.12.14","https://youtu.be/TgBqjsthUgM"
"104","chek-chū","chek-chu7","tsik-tsū","tsik-tsu7","積聚","積聚","累積","","","【民視台灣學堂】台語講世事","2017.12.14","https://youtu.be/TgBqjsthUgM"
"105","óaⁿ-kong tē-hêng ","oann2-kong te7-heng5 ","uánn-kong tē-hîng ","uann2-kong te7-hing5 ","碗公地型","碗公地型","盆地","","相關詞：phûn-tē(盆地)","【民視台灣學堂】台語講世事","2017.12.14","https://youtu.be/TgBqjsthUgM"
"106","kāu","kau7","kāu","kau7","厚","厚","很多(不具體, 無法量計)","","相關詞：kāu-hō͘(厚雨),kāu-ōe(厚話),kāu-chhau-hoân(厚操煩),kāu-báng(厚蠓)","【民視台灣學堂】台語講世事","2017.12.14","https://youtu.be/TgBqjsthUgM"
"107","chē","che7","tsē","tse7","濟","濟","多","","","【民視台灣學堂】台語講世事","2017.12.14","https://youtu.be/TgBqjsthUgM"
"108","khong-khì","khong-khi3","khong-khì","khong-khi3","空氣","空氣","空氣","","","【民視台灣學堂】台語講世事","2017.12.14","https://youtu.be/TgBqjsthUgM"
"109","u-jiám","u-jiam2","u-jiám","u-jiam2","污染","污染","污染","","","【民視台灣學堂】台語講世事","2017.12.14","https://youtu.be/TgBqjsthUgM"
"110","thô͘-hún","thoo5-hun2","thôo-hún","thoo5-hun2","塗粉","塗粉","灰塵","","","【民視台灣學堂】台語講世事","2017.12.14","https://youtu.be/TgBqjsthUgM"
"111","hì-kńg","hi3-kng2","hì-kńg","hi3-kng2","肺管","肺管","氣管","","","【民視台灣學堂】台語講世事","2017.12.14","https://youtu.be/TgBqjsthUgM"
"112","chhùi-am","chhui3-am","tshuì-am","tshui3-am","喙掩","喙掩","口罩","","","【民視台灣學堂】台語講世事","2017.12.14","https://youtu.be/TgBqjsthUgM"
"113","N káu-cha̍p-gō͘","N kau2-chap8-goo7","N káu-tsa̍p-gōo","N kau2-tsap8-goo7","N95","N95","N95","","","【民視台灣學堂】台語講世事","2017.12.14","https://youtu.be/TgBqjsthUgM"
"114","tio̍h-gâm","tioh8-gam5","tio̍h-gâm","tioh8-gam5","著癌","著癌","罹癌","","","【民視台灣學堂】台語講世事","2017.12.14","https://youtu.be/TgBqjsthUgM"
"115","he-ku","he-ku","he-ku","he-ku","痚呴","痚呴","氣喘","","","【民視台灣學堂】台語講世事","2017.12.14","https://youtu.be/TgBqjsthUgM"
"116","khuh-khuh-sàu","khuh-khuh-sau3","khuh-khuh-sàu","khuh-khuh-sau3","khuh-khuh-嗽","khuh-khuh-嗽","咳不停","","","【民視台灣學堂】台語講世事","2017.12.14","https://youtu.be/TgBqjsthUgM"
"117","hì-pho̍k","hi3-phok8","hì-pho̍k","hi3-phok8","肺泡","肺泡","肺泡","","","【民視台灣學堂】台語講世事","2017.12.14","https://youtu.be/TgBqjsthUgM"
"118","hì-pho̍k-á","hi3-phok8-a2","hì-pho̍k-á","hi3-phok8-a2","肺泡","肺泡","肺泡","","","【民視台灣學堂】台語講世事","2017.12.14","https://youtu.be/TgBqjsthUgM"
"119","thūn","thun7","thūn","thun7","坉","坉","(囥物件入--去)有空間能放東西進來的動作","","相關詞：thūn-hòe(坉貨)","【民視台灣學堂】台語講世事","2017.12.14","https://youtu.be/TgBqjsthUgM"
"120","tún","tun2","tún","tun2","囤","囤","(積聚)慢慢累積的動作","","","【民視台灣學堂】台語講世事","2017.12.14","https://youtu.be/TgBqjsthUgM"
"121","pa̍t-lâng ê gín-á sī bē liáu","pat8-lang5 e5 gin2-a2 si7 be7 liau2","pa̍t-lâng ê gín-á sī bē liáu","pat8-lang5 e5 gin2-a2 si7 be7 liau2","pa̍t人ê囡á死bē了","pa̍t人ê囡á死bē了","","","","【民視台灣學堂】台語講世事","2017.12.14","https://youtu.be/TgBqjsthUgM"
"122","hâ an-choân-tòa","ha5 an-choan5-toa3","hâ an-tsuân-tuà","ha5 an-tsuan5-tua3","hâ-安全帶","hâ-安全帶","綁安全帶","","","【民視台灣學堂】台語講世事","2017.12.21","https://youtu.be/YEoWuC6MyDs"
"123","hâ","ha5","hâ","ha5","縖","縖","綁","","相關詞：hâ an-choân-tòa(綁安全帶), hâ khò͘-tòa(繫腰帶), hâ ûi-kûn(穿圍裙)","【民視台灣學堂】台語講世事","2017.12.21","https://youtu.be/YEoWuC6MyDs"
"124","iû-lám-chhia","iu5-lam2-chhia","iû-lám-tshia","iu5-lam2-tshia","遊覽車","遊覽車","遊覽車","","","【民視台灣學堂】台語講世事","2017.12.21","https://youtu.be/YEoWuC6MyDs"
